LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,948,634,"1,169","1,566","2,657"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,945,"1,044",940,"1,175",974
Các khoản dự phòng,-22,101,134,224,903
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-274,-51,-33,3,93
"Lãi, lỗ từ hoạt động đầu tư","-1,590","-1,722","-1,633","-1,761","-1,951"
Chi phí lãi vay,"1,799","1,713","1,713","1,823","1,662"
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,807","1,719","2,290","3,030","4,339"
"Tăng, giảm các khoản phải thu",282,-128,562,57,-828
"Tăng, giảm hàng tồn kho",916,361,231,-344,-346
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",305,"-1,078",-366,"1,441","2,146"
"Tăng, giảm chi phí trả trước",153,172,-61,176,341
"Tăng, giảm chứng khoán kinh doanh","-2,967",964,"1,708",-210,"1,720"
Tiền lãi vay đã trả,"-2,030","-1,386","-1,600","-1,490","-2,485"
Thuế thu nhập doanh nghiệp đã nộp,-340,-659,-215,-81,-454
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,-1
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-1,875",-35,"2,550","2,578","4,433"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-463,-397,-223,-933,"-1,546"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2,53,-29,12,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-10,691","-3,898","-14,598",634,"-22,871"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","10,978","2,479","10,284",-35,"19,677"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,2,,,"-5,100","-1,457"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,709,,"1,383",,"2,901"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",460,223,"1,544",301,904
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,998,"-1,540","-1,640","-5,121","-2,393"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,54,"6,409",-64,13
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"28,876","13,749","24,469","13,846","41,543"
4. Tiền trả nợ gốc vay,"-27,264","-13,855","-22,100","-15,838","-36,819"
5. Tiền trả nợ gốc thuê tài chính,-4,-4,-20,-11,20
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-39,,,-326,"-1,395"
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"1,568",-56,"8,758","-2,392","3,362"
Lưu chuyển tiền thuần trong kỳ,691,"-1,631","9,668","-4,935","5,403"
Tiền và tương đương tiền đầu kỳ,"9,477","10,125","8,493","18,158","13,225"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-44,,-2,2,-10
Tiền và tương đương tiền cuối kỳ,"10,125","8,493","18,158","13,225","18,618"
