LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,418",933,159,130,182
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,866,955,876,796,"1,007"
Các khoản dự phòng,-93,-50,-52,-38,-55
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,1,,-2,
"Lãi, lỗ từ hoạt động đầu tư",-50,-103,-312,-448,-475
Chi phí lãi vay,435,361,296,385,438
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,576","2,097",967,822,"1,097"
"Tăng, giảm các khoản phải thu",-733,691,"1,127",-624,-90
"Tăng, giảm hàng tồn kho",-341,"3,035","4,791",-889,-924
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",295,"1,016","-2,055",431,-845
"Tăng, giảm chi phí trả trước",-34,5,76,35,61
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-312,-458,-271,-340,-349
Thuế thu nhập doanh nghiệp đã nộp,-423,-401,-561,-94,-96
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,027","5,985","4,074",-659,"-1,147"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-885,"-1,673",-310,-128,-170
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2,1,2,7,4
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-2,926","-5,711","-11,461","-7,875","-6,816"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","6,243","5,459","4,502","3,924","6,893"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",230,172,288,374,188
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,-1
Lưu chuyển tiền thuần từ hoạt động đầu tư,"2,663","-1,751","-6,978","-3,698",99
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",-2,-2,-1,-7,
3. Tiền thu từ đi vay,"18,829","12,115","11,252","16,605","19,131"
4. Tiền trả nợ gốc vay,"-18,351","-18,351","-10,627","-11,581","-18,441"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,-731
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,478,"-6,238",624,"5,017",-42
Lưu chuyển tiền thuần trong kỳ,"4,167","-2,004","-2,280",660,"-1,090"
Tiền và tương đương tiền đầu kỳ,"2,898","7,065","5,061","2,781","3,442"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-1,,,
Tiền và tương đương tiền cuối kỳ,"7,065","5,061","2,781","3,442","2,352"
