LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,313,"1,656",838,"1,064","1,180"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,493,579,530,569,487
Các khoản dự phòng,-954,-359,43,135,881
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",35,-126,-6,52,3
"Lãi, lỗ từ hoạt động đầu tư",-374,-612,-377,-511,"-1,099"
Chi phí lãi vay,154,165,233,230,226
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,"1,159",964,477,734,-112
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,826,"2,267","1,737","2,273","1,567"
"Tăng, giảm các khoản phải thu","3,341","-1,991",632,-560,829
"Tăng, giảm hàng tồn kho","7,743","-2,177","2,654","-1,027","-4,777"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-7,713","3,588","-7,035","6,126","3,014"
"Tăng, giảm chi phí trả trước",30,196,94,-94,130
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-161,-153,-233,-207,-250
Thuế thu nhập doanh nghiệp đã nộp,-104,-66,-243,-33,-81
Tiền thu khác từ hoạt động kinh doanh,32,-32,-36,38,167
Tiền chi khác cho hoạt động kinh doanh,-125,-232,-249,3,-267
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,870","1,400","-2,678","6,520",332
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-92,"-1,148",-158,-395,-108
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2,231,3,10,4
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-1,809","-2,580","-3,934","-5,310","-8,299"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3,942","6,961","4,039","2,284","2,283"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,11,,,1
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",281,692,227,426,213
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"2,324","4,167",178,"-2,985","-5,907"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"20,688","22,894","27,674","18,276","18,834"
4. Tiền trả nợ gốc vay,"-24,598","-22,826","-27,742","-14,548","-19,814"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,"-1,587",,-184,184
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-3,910","-1,519",-68,"3,544",-797
Lưu chuyển tiền thuần trong kỳ,"2,284","4,047","-2,569","7,079","-6,372"
Tiền và tương đương tiền đầu kỳ,"5,248","7,553","11,606","9,012","16,148"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,21,6,-26,58,-38
Tiền và tương đương tiền cuối kỳ,"7,553","11,606","9,012","16,148","9,739"
