LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,828",112,837,571,-270
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,587,498,636,529,567
Các khoản dự phòng,77,138,-21,295,687
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",19,21,39,22,99
"Lãi, lỗ từ hoạt động đầu tư",-400,-215,-467,-433,-399
Chi phí lãi vay,150,164,144,155,170
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,"-1,918",-264,7,-230,279
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,343,455,"1,175",910,"1,134"
"Tăng, giảm các khoản phải thu","-1,957","2,648",791,"-4,747","-1,051"
"Tăng, giảm hàng tồn kho","-2,011",613,"-1,431","-11,390","1,910"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","2,148","-6,281","4,617","15,891","-1,859"
"Tăng, giảm chi phí trả trước",-48,-147,143,-19,-65
"Tăng, giảm chứng khoán kinh doanh",,1,1,,
Tiền lãi vay đã trả,-163,-145,-170,-155,-163
Thuế thu nhập doanh nghiệp đã nộp,-68,-202,-99,-191,-94
Tiền thu khác từ hoạt động kinh doanh,,5,-5,-1,1
Tiền chi khác cho hoạt động kinh doanh,-136,-28,-135,-142,-145
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-1,892","-3,081","4,889",156,-334
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-370,48,-845,-165,-715
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",265,-259,372,4,5
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-8,283","-4,019","-8,323","-7,326","-8,196"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","5,950","4,755","6,313","5,419","7,122"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-3,-45,48,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,63,-6,6,4,-4
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",403,-53,515,202,164
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,974",421,"-1,914","-1,862","-1,625"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1,388",-15,156,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"16,140","20,649","16,345","23,693","28,556"
4. Tiền trả nợ gốc vay,"-15,643","-19,248","-18,051","-21,500","-27,868"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-57,57,"-1,620",,-159
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"1,828","1,442","-3,169","2,193",530
Lưu chuyển tiền thuần trong kỳ,"-2,038","-1,217",-194,487,"-1,428"
Tiền và tương đương tiền đầu kỳ,"9,637","7,606","6,369","6,192","6,668"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,7,-20,18,-12,8
Tiền và tương đương tiền cuối kỳ,"7,606","6,369","6,192","6,668","5,248"
