LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,304",599,"1,723","1,532","2,205"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,138,139,137,135,144
Các khoản dự phòng,-72,23,-12,-8,2
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",6,-13,-5,-5,-10
"Lãi, lỗ từ hoạt động đầu tư",-220,-213,-351,-274,-300
Chi phí lãi vay,13,11,11,11,10
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,73,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,-74,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,168",546,"1,503","1,391","2,050"
"Tăng, giảm các khoản phải thu",-35,-106,187,-56,-111
"Tăng, giảm hàng tồn kho",405,244,-278,-291,53
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",566,-336,647,452,-423
"Tăng, giảm chi phí trả trước",9,78,33,-15,-70
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-9,-9,-11,-10,-7
Thuế thu nhập doanh nghiệp đã nộp,-76,-264,-232,-381,-242
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-80,-26,-1,-2,-94
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,948",128,"1,849","1,089","1,155"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-106,-94,-69,-68,-219
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1,,1,1,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-5,197","-4,202","-6,844","-2,132","-7,706"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3,474","4,136","5,203","2,805","5,884"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,35,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",361,264,281,137,326
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,466",103,"-1,394",744,"-1,715"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,754,572,713,813,938
4. Tiền trả nợ gốc vay,-822,-634,-804,-747,-823
5. Tiền trả nợ gốc thuê tài chính,,"-1,046","1,046",,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-45,"1,020","-1,096","-2,256",-66
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-112,-88,-142,"-2,189",50
Lưu chuyển tiền thuần trong kỳ,370,143,313,-357,-510
Tiền và tương đương tiền đầu kỳ,"2,780","3,150","3,293","3,606","3,250"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"3,150","3,293","3,606","3,250","2,740"
