LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"5,967","5,928","6,477","13,404","5,517"
2. Chi phí lãi và các chi phí tương tự đã trả,"-5,645","-5,820","-4,466","-5,143","-6,556"
3. Thu nhập từ hoạt động dịch vụ nhận được,119,118,104,196,169
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",58,33,561,704,54
5. Thu nhập khác,3,-11,28,238,25
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",10,9,44,28,70
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-1,068",-829,"-1,143","-1,190",-887
8. Tiền thuế thu nhập thực nộp trong kỳ,-16,-22,-134,-267,-222
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,-573,-593,"1,470","7,971","-1,830"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-5,196","-1,485","1,485",-97,81
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,-74,"3,591","-17,503","6,808","-13,888"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,173,-152,-9,27,72
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-17,105","-5,112","-4,828","-13,430","-5,053"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-36,-899,-175,"-2,762",-49
14. (Tăng)/Giảm khác về tài sản hoạt động,223,526,378,-158,"5,523"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-27,-28,-29,-32,-23
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-1,141","-3,973","-8,562","4,014","8,877"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"3,303","16,855","17,122","7,065","-2,927"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"-1,253","7,538",-495,"-1,488",184
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",275,-278,648,358,180
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,16,-16,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,"1,943","-1,274",-181,"1,106",-847
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-19,472","14,698","-10,679","9,381","-9,700"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-147,90,-34,-26,-27
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",2,1,1,-18,2
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-145,91,-33,-44,-25
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,"3,008",,-48,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,"3,008",,-48,
IV- Lưu chuyển tiền thuần trong kỳ,"-19,617","17,797","-10,712","9,289","-9,726"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"50,822",,,,"47,580"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"31,206","17,797","-10,712","9,289","37,854"
