LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"3,278","5,116","3,415","5,532","3,839"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,940","-2,483","-2,585","-3,517","-2,868"
3. Thu nhập từ hoạt động dịch vụ nhận được,326,277,119,246,358
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",123,69,304,125,343
5. Thu nhập khác,28,34,23,69,12
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",16,36,14,20,11
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-863,-961,-803,-821,-851
8. Tiền thuế thu nhập thực nộp trong kỳ,-2,-411,-412,-173,-177
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,966,"1,678",75,"1,482",666
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","1,902","-1,070","-1,806","2,157","-1,178"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"5,586","1,026","-4,347","-3,361","3,992"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,27,165,333,-425,279
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-3,192","-3,980","-5,325","-2,608","-6,959"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-170,-124,-120,-67,
14. (Tăng)/Giảm khác về tài sản hoạt động,-684,"-2,052","-1,375","-1,545",394
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-7,"1,690","-1,707",-5,-7
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-2,448",-954,"8,619","-2,549","-16,946"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"-3,384","2,202","2,148","5,537","17,730"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"2,916","-1,233","3,259","-3,209","1,392"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,819,-834,-93,-53,-32
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,330","-3,486",-337,"-4,646",-669
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-33,-170,-15,-134,-41
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",24,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,8,,7
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-9,-170,-7,-133,-34
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,891,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,891,,,
IV- Lưu chuyển tiền thuần trong kỳ,"2,321","-2,765",-344,"-4,780",-703
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,"52,327",,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"2,321","-2,765","51,983","-4,780",-703
