LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"1,979","2,850","3,002","3,213","4,264"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,683","-1,609","-2,252","-2,091","-2,806"
3. Thu nhập từ hoạt động dịch vụ nhận được,313,256,1,573,404
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",107,546,-32,"-1,185",-101
5. Thu nhập khác,27,16,17,1,-13
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,,,
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-447,-433,-472,-531,-598
8. Tiền thuế thu nhập thực nộp trong kỳ,-163,-95,-243,-145,-207
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,131,"1,531",23,-165,943
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","2,176","-1,894","-5,655","-2,896","3,801"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,-941,"-2,261",-840,"-7,717","1,021"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,369,226,15,-7,-19
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-2,652","-11,897","-4,559","-3,723",-697
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,,,,
14. (Tăng)/Giảm khác về tài sản hoạt động,-589,-128,-430,433,-351
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-72,-724,-349,"2,350",-251
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","1,032","1,595","4,976","5,051","-2,568"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"2,435","12,055","5,932","-2,603","1,469"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"-1,336","-2,373","1,293","8,615","-2,635"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-29,-219,-14,389,194
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,106,"6,023",
21. Tăng/(Giảm) khác về công nợ hoạt động,"1,253","1,098",245,"-2,596","-1,132"
22. Chi từ các quỹ của TCTD,-214,-10,-9,-16,-29
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,563","-3,000",732,"3,138",-254
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-360,-472,202,-945,-320
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",35,13,47,394,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,-48,48,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,751,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-112,-38,-50,5,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",23,206,-206,-23,3
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",10,19,-7,53,13
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-405,-272,-61,283,-304
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,"1,814",-45,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,310,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,"1,814",265,
IV- Lưu chuyển tiền thuần trong kỳ,"1,159","-3,272","2,485","3,686",-558
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"23,620",,,,"27,677"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,-504,21,483,-223
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"24,778","-3,777","2,506","4,169","26,896"
