LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,006",576,412,-412,-412
Điều chỉnh cho các khoản:,,,,,
"2. Khấu hao TSCĐ, bất động sản đầu tư",32,16,17,-17,-17
"3. Dự phòng rủi ro tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong kỳ",72,63,132,-132,-132
4. Lãi và phí phải thu trong kỳ (thực tế chưa thu),,-450,-514,514,514
5. Lãi và phí phải trả trong kỳ (thực tế chưa trả),,420,300,-300,-300
6. (Lãi)/lỗ do thanh lý TSCĐ,,1,-1,1,1
"7. (Lãi)/lỗ do bán, thanh lý bất động sản đầu tư",,,,,
"8. (Lãi)/Lỗ do thanh lý những khoản đầu tư, góp vốn dài hạn vào đơn vị khác, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư, góp vốn dài hạn",-648,256,-64,64,64
9. Chênh lệch tỷ giá hối đoái chưa thực hiện,,,,,
10. Các điều chỉnh khác,,,,,
Những thay đổi về tài sản và công nợ hoạt động,,,,,
Những thay đổi về tài sản hoạt động,,,,,
"11. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các tổ chức tín dụng khác","-1,525","-1,288","2,097","-2,097","-2,097"
12. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-6,077","-4,900","-1,476","1,476","1,476"
13. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,-18,14,-21,21,21
14. (Tăng)/Giảm các khoản cho vay khách hàng,"-9,791","-11,199","-7,174","7,174","7,174"
"15. (Tăng)/Giảm lãi, phí phải thu",-235,247,462,-462,-462
16. (Giảm)/Tăng nguồn dự phòng để bù đắp tổn thất các khoản,,,,,
17. (Tăng)/Giảm khác về tài sản hoạt động,"-1,043",670,-802,802,802
Những thay đổi về công nợ hoạt động,,,,,
18. Tăng/Giảm các khoản nợ chính phủ và NHNN,-107,750,-604,604,604
19. Tăng/(Giảm) các khoản tiền gửi và vay các TCTD,"1,033","2,652",662,-662,-662
20. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả kho bạc Nhà nước),"17,278","9,442","8,366","-8,366","-8,366"
21. Tăng/(Giảm) các công cụ TC phái sinh và các khoản nợ tài chính khác,,,,,
"22. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD phải chịu rủi ro",100,529,52,-52,-52
23. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"1,042","1,626","2,084","-2,084","-2,084"
"24. Tăng/(Giảm) lãi, phí phải trả",227,-331,-245,245,245
25. Tăng/(Giảm) khác về công nợ hoạt động,"1,254",-670,937,-937,-937
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập,"2,601","-1,575","4,620","-4,620","-4,620"
26. Thuế TNDN đã nộp,-122,-12,-85,85,85
27. Chi từ các quỹ của TCTD,-61,-20,-165,165,165
I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,417","-1,607","4,369","-4,369","-4,369"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm TSCĐ,-169,-236,-251,251,251
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",1,,4,-4,-4
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",-1,-2,-3,3,3
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)","-1,345",533,-69,69,69
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",636,-326,61,-61,-61
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",171,-19,19,-19,-19
II. Lưu chuyển tiền từ hoạt động đầu tư,-707,-49,-240,240,240
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,"3,163",,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III. Lưu chuyển tiền từ hoạt động tài chính,"3,163",,,,
IV. Lưu chuyển tiền thuần trong kỳ,"4,873","-1,656","4,129","-4,129","-4,129"
V. Tiến và các khoản tương đương tiền tại thời điểm đầu kỳ,"5,422",49,"8,688","-8,688","-8,688"
VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"10,295","-1,607","12,816","-12,816","-12,816"
