LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"13,944","12,786","13,665","14,499","20,798"
2. Chi phí lãi và các chi phí tương tự đã trả,"-6,560","-7,334","-6,426","-5,847","-6,481"
3. Thu nhập từ hoạt động dịch vụ nhận được,"2,566","2,101","2,099","1,967","1,476"
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",605,"1,611","1,181",378,-21
5. Thu nhập khác,-49,"-1,033",-285,37,"-1,079"
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",312,144,294,391,309
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-1,848","-3,274","-2,245","-1,920","-2,668"
8. Tiền thuế thu nhập thực nộp trong kỳ,-109,"-3,660",-267,-105,-58
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"8,859","1,343","8,016","9,401","12,277"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-18,004","6,572","5,005","2,122",-978
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"14,721","4,867","3,750","-6,387","-33,856"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,"1,158",-586,559,-99,269
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-43,036","-40,635","-32,806","-34,208","-5,434"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,"-1,533",-965,"-1,010",-207,-489
14. (Tăng)/Giảm khác về tài sản hoạt động,"-8,721","8,344","2,026","16,937","7,396"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,,,,,
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-6,089","19,720","-18,280","-16,150","-6,223"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"45,567","4,319","23,291","12,704","38,429"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"22,878","9,073","18,208","14,076","14,361"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,931
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,"-1,536",992,"-2,771",126,"-1,650"
22. Chi từ các quỹ của TCTD,-2,,-2,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"14,261","13,043","5,986","-1,685","25,034"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-636,-79,-201,-286,"-1,052"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",3,,1,230,"1,510"
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,"-1,250"
4. Mua sắm bất động sản đầu tư,590,,736,,-736
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,736,-736,,736
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,-1,,-55
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",24,,58,6,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-19,657,-143,-50,-847
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,53,,2,,196
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,1,,,,2
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",-1,,"-5,140",-70,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,53,,"-5,138",-70,198
IV- Lưu chuyển tiền thuần trong kỳ,"14,294","13,700",705,"-1,806","24,385"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,"110,500",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,2,-20,7,24,-10
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"14,297","124,180",712,"-1,782","24,375"
