LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Đơn lẻ,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"2,615","2,819","2,727","3,057","3,314"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,355","-1,401","-1,441","-1,284","-1,398"
3. Thu nhập từ hoạt động dịch vụ nhận được,236,217,269,272,416
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",101,451,241,113,67
5. Thu nhập khác,-1,,13,-5,637
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",18,22,6,12,22
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-801,-828,-798,-688,-711
8. Tiền thuế thu nhập thực nộp trong kỳ,-10,-363,-107,-30,-280
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,803,916,911,"1,447","2,067"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-1,160",500,660,,"-1,241"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-3,947","6,203","-3,239","1,595","-4,581"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,-21,-36,-30,74
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-3,546","-7,462","-3,759","-3,481","-2,831"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-140,,-357,-677,-254
14. (Tăng)/Giảm khác về tài sản hoạt động,915,"-1,009","1,023","-1,046",-927
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"3,299","-3,828",680,-747,-29
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-4,519","3,837","-1,088","3,392",97
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"5,979","1,775","2,961","4,723","6,843"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"2,596","2,239","2,139",-52,"1,118"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,179",7,226,215,11
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,17,-109,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,-116,451,358,-606,-303
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,361","3,500",479,"4,733",44
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-149,-56,-75,-118,-147
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",-1,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-150,-56,-75,-118,-146
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,267
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,-13,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,-7,,
5. Tiền chi ra mua cổ phiếu quỹ,,,-628,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,-13,,-635,,267
IV- Lưu chuyển tiền thuần trong kỳ,"1,198","3,444",-231,"4,615",165
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,101,"21,206",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-75,39,-39,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"1,225","24,688",-269,"4,615",165
