LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2011,Q1/2014,Q1/2015,Q3/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/01-31/03,01/07-30/09,01/01-31/03
Hợp nhất,Mới nhất,Đơn lẻ,Đơn lẻ,Mới nhất,Đơn lẻ
Kiểm toán,VST Tính,Chưa kiểm toán,Chưa kiểm toán,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,523,459,,,
2. Chi phí lãi và các chi phí tương tự đã trả,-477,-289,,,
3. Thu nhập từ hoạt động dịch vụ nhận được,-70,8,,,
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",2,53,,,
5. Thu nhập khác,284,2,,,
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,,,
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-54,-124,,,
8. Tiền thuế thu nhập thực nộp trong kỳ,-26,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,182,109,,,
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-2,039",,,,
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-1,139",195,,,
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-641,4,,,
12. (Tăng)/Giảm các khoản cho vay khách hàng,300,"-1,371",,,
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,-3,,,
14. (Tăng)/Giảm khác về tài sản hoạt động,"1,446",-433,,,
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,282,29,,,
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","4,595","-3,717",,,
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),-196,"1,177",,,
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),32,-116,,,
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-103,,,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,311,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,747,20,,,
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,776","-4,106",,,
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-4,-4,,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",1,,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-3,-4,,,
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,
IV- Lưu chuyển tiền thuần trong kỳ,"3,773","-4,110",,,
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"6,802","6,522",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-5,4,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"10,570",,,,
