LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2010,Q2/2010,Q3/2010,Q1/2011,Q2/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Mới nhất,Mới nhất,Đơn lẻ,Mới nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,208,246,333,462,513
2. Chi phí lãi và các chi phí tương tự đã trả,-190,-215,-207,-484,-560
3. Thu nhập từ hoạt động dịch vụ nhận được,6,5,2,6,-29
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",9,-1,-1,-37,-34
5. Thu nhập khác,9,33,20,186,296
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,,,
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-34,-36,-41,-52,-48
8. Tiền thuế thu nhập thực nộp trong kỳ,-25,-13,-18,,-8
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,-16,19,87,80,129
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",-197,13,-126,772,
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,206,-360,-99,-835,706
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,,,,
12. (Tăng)/Giảm các khoản cho vay khách hàng,-677,60,"-1,302",921,-461
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-1,-2,-2,,
14. (Tăng)/Giảm khác về tài sản hoạt động,-992,418,-652,"-1,318","-1,956"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,79,-261,293,111,-627
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",425,"-1,465",318,"2,545","2,688"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"1,968",-588,"1,104","1,105",-958
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),,,,899,-500
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",202,-11,-4,-231,913
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,13,,4,40,-17
21. Tăng/(Giảm) khác về công nợ hoạt động,-363,9,4,134,-48
22. Chi từ các quỹ của TCTD,,,-1,-1,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,647,"-2,169",-377,"4,221",-131
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-6,-2,-11,-4,-6
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-7,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",3,1,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-10,-1,-10,-4,-6
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,500,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,"1,166",474,-60,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",-100,,,,-150
5. Tiền chi ra mua cổ phiếu quỹ,,,,-3,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,400,"1,166",474,-63,-150
IV- Lưu chuyển tiền thuần trong kỳ,"1,037","-1,004",87,"4,154",-287
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,943,"1,976",976,"2,943","7,088"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-4,4,-6,-9,2
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"1,976",976,"1,057","7,088","6,802"
