LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"17,709","18,509","15,964","17,882","15,985"
2. Chi phí lãi và các chi phí tương tự đã trả,"-8,622","-8,630","-7,971","-7,971","-7,497"
3. Thu nhập từ hoạt động dịch vụ nhận được,"1,127","1,156","1,257","3,067","1,759"
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",923,789,869,883,"1,027"
5. Thu nhập khác,80,44,67,-820,-100
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",958,240,472,751,"1,111"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-3,369","-2,960","-4,335","-3,861","-4,404"
8. Tiền thuế thu nhập thực nộp trong kỳ,"-1,512","-1,033","-1,141",-994,"-1,912"
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"7,295","8,116","5,180","8,938","5,969"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","5,300","-1,310","2,744","-2,693","18,663"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"3,400","-1,135","-10,462","18,535","5,090"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,98,,,,
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-19,798","-16,239","-13,013","-56,031","-32,150"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,,"-1,365","-1,441",
14. (Tăng)/Giảm khác về tài sản hoạt động,"2,053","-3,132","-2,161","4,854","-3,261"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"-59,913","-22,127","-4,275","35,126","-22,639"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-29,975","4,762","3,925","51,255","-22,825"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"5,597","47,193",251,"50,621","-6,566"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),-12,-78,-32,-22,168
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-1,-1,-2,-2,-4
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,366,-307,-25,18,12
21. Tăng/(Giảm) khác về công nợ hoạt động,969,"8,824",-448,"-1,948","1,702"
22. Chi từ các quỹ của TCTD,-839,-204,-413,-411,"-1,009"
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-85,460","24,360","-20,097","106,800","-56,850"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-45,-390,-586,"-1,981",-64
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",1,2,1,6,1
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,-2,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,516,,90,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",11,3,2,69,8
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-33,130,-583,"-1,819",-54
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,-748,,"-2,238",-748
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,-748,,"-2,238",-748
IV- Lưu chuyển tiền thuần trong kỳ,"-85,493","23,742","-20,680","102,743","-57,651"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"272,271",,,,"292,583"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"186,777","23,742","-20,680","102,743","234,931"
