LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,390","1,416","12,343","10,837","16,265"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,391,421,370,530,349
Các khoản dự phòng,-147,-38,138,32,-61
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-17,,226,-162,167
"Lãi, lỗ từ hoạt động đầu tư","-2,720","-1,866","-8,185","-5,516","-8,499"
Chi phí lãi vay,974,"1,066","2,042","1,508","2,685"
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,-129,999,"6,935","7,229","10,906"
"Tăng, giảm các khoản phải thu","-22,423","-1,303","-30,089","-30,757","-30,207"
"Tăng, giảm hàng tồn kho","-7,545","-3,343","4,896","20,866","-12,971"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","20,693","1,583","15,893","3,730","35,599"
"Tăng, giảm chi phí trả trước",567,-534,-759,-312,723
"Tăng, giảm chứng khoán kinh doanh",548,-2,2,,"-1,500"
Tiền lãi vay đã trả,"-1,626",-651,"-2,515","-1,435","-3,526"
Thuế thu nhập doanh nghiệp đã nộp,345,"-1,324",-734,"-7,012","-1,822"
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-9,571","-4,574","-6,372","-7,692","-2,798"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2,282","-10,005",-607,"-3,837","2,543"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2,769",886,-847,"1,984","1,010"
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-11,853","-10,089","-18,743","6,389","6,641"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","24,591","2,198","24,563","-9,313","-11,414"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,"-28,935","-5,047","-10,242","-17,876","-2,023"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"13,976","14,761","9,285","23,966","15,833"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","4,972","1,370","3,657","7,714",261
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"7,802","-5,926","7,065","9,027","12,852"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",-11,2,,20,2
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,"-10,485"
3. Tiền thu từ đi vay,"20,139","16,035","14,692","18,321","17,980"
4. Tiền trả nợ gốc vay,"-7,166","-9,516","-7,730","-16,229","-9,181"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-600,,-5,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"12,962","5,921","6,962","2,107","-1,684"
Lưu chuyển tiền thuần trong kỳ,"11,193","-4,579","7,655","3,442","8,369"
Tiền và tương đương tiền đầu kỳ,"2,910","14,103","9,525","17,180","20,621"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"14,103","9,525","17,180","20,621","28,991"
