LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"4,618","3,358","10,029","7,626","8,733"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,75,83,82,93,93
Các khoản dự phòng,263,-97,-40,-77,17
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-1,,,-1,
"Lãi, lỗ từ hoạt động đầu tư","-3,394","-1,946","-3,385","2,002","-5,787"
Chi phí lãi vay,778,495,510,717,656
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,338","1,895","7,196","10,360","3,711"
"Tăng, giảm các khoản phải thu","2,744","-2,297","1,334","20,979","-23,048"
"Tăng, giảm hàng tồn kho","12,371",55,"7,155","-19,971","5,405"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-8,575","15,178",-929,"-17,591","54,794"
"Tăng, giảm chi phí trả trước",-276,-726,919,"-2,390",-688
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-829,-819,-746,-144,"-1,601"
Thuế thu nhập doanh nghiệp đã nộp,-538,"-2,066",-945,"-5,496","2,405"
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"7,236","11,220","13,984","-14,252","40,977"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-163,"-2,370","1,724","-2,556",-645
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","-1,491",,105,-105,206
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","13,870",-376,"-3,634","-1,450","-8,616"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","-1,650","1,889","2,587","24,434","1,852"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,"-7,748","-13,479","-6,232","-14,835","-26,619"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"3,094","7,603","3,430","3,176","5,360"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",180,4,7,916,305
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"6,092","-6,729","-2,012","9,579","-28,157"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,"-5,550"
3. Tiền thu từ đi vay,"34,152","2,018",909,"3,855",65
4. Tiền trả nợ gốc vay,"-49,855","-7,637","-1,232",-529,"-3,005"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-38,,,"-3,651",-35
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-15,741","-5,619",-322,-325,"-8,526"
Lưu chuyển tiền thuần trong kỳ,"-2,413","-1,128","11,649","-4,998","4,294"
Tiền và tương đương tiền đầu kỳ,"5,929","3,515","2,387","14,036","9,038"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"3,515","2,387","14,036","9,038","13,332"
