LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,394","2,494","4,093","4,705","5,433"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,"5,314","5,129","5,549","6,362","5,706"
Các khoản dự phòng,"2,205","2,045","1,934",-77,"3,911"
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-144,"1,461","1,701","-1,656","1,468"
"Lãi, lỗ từ hoạt động đầu tư","-4,002","-18,746","-9,483","-7,079","-11,060"
Chi phí lãi vay,"5,215","4,830","5,622","5,608","6,832"
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"9,982","-2,787","9,416","7,864","12,289"
"Tăng, giảm các khoản phải thu","-21,316","-7,644","-27,897","-30,693","-18,250"
"Tăng, giảm hàng tồn kho","-10,862","-8,117","-1,466","-26,216","16,303"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","16,705","-1,252","28,600","59,153","48,400"
"Tăng, giảm chi phí trả trước",537,"-1,172","-1,841",-684,"-2,964"
"Tăng, giảm chứng khoán kinh doanh",598,,,,"-1,500"
Tiền lãi vay đã trả,"-4,556","-4,459","-6,354","-5,858","-4,375"
Thuế thu nhập doanh nghiệp đã nộp,"-1,619","-1,025","-1,316","-6,366","-1,912"
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-10,531","-26,457",-859,"-2,800","47,992"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-12,466","-16,755","-4,201","-5,994","-23,777"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","5,494",1,"1,979",-704,804
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-4,336","-3,887","-10,494","-1,879","-13,688"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","5,335","4,898","6,480","3,957",833
5. Tiền chi đầu tư góp vốn vào đơn vị khác,"-10,697","-14,205","-8,229","-5,611","-21,821"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"18,214","34,988","15,097","15,809","14,993"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",548,40,"3,135",122,207
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"2,093","5,080","3,767","5,699","-42,449"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1,157","9,622","6,017",20,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"44,291","35,330","36,439","41,071","53,061"
4. Tiền trả nợ gốc vay,"-25,886","-24,304","-43,337","-45,625","-42,914"
5. Tiền trả nợ gốc thuê tài chính,-11,,-53,53,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-61,-600,,-5,-61
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"19,491","20,047",-933,"-4,487","10,086"
Lưu chuyển tiền thuần trong kỳ,"11,052","-1,330","1,975","-1,588","15,629"
Tiền và tương đương tiền đầu kỳ,"16,882","27,983","26,653","28,565","27,040"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,48,,-62,62,
Tiền và tương đương tiền cuối kỳ,"27,983","26,653","28,565","27,040","42,669"
