LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,,333,45,46,-92
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,,17,-5,-2,7
Các khoản dự phòng,,,,10,-10
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,,
"Lãi, lỗ từ hoạt động đầu tư",,-212,-44,-91,135
Chi phí lãi vay,,21,,107,-107
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,-49,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,110,-4,70,-67
"Tăng, giảm các khoản phải thu",,2,-87,-341,429
"Tăng, giảm hàng tồn kho",,,,-16,16
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,13,118,-312,194
"Tăng, giảm chi phí trả trước",,-14,-40,-59,99
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,,,,,
Thuế thu nhập doanh nghiệp đã nộp,,-7,52,-52,
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,-422,412,10
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,104,-383,-298,680
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,-110,259,-550,290
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,232,,18,-18
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,"-1,726",-640,"1,776","-1,136"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,60,-60,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-218,-125,-5,130
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,5,-5,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,49,44,-44,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,"-1,772",-396,"1,130",-734
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,"1,350",400,-400,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,"1,048",,,
4. Tiền trả nợ gốc vay,,-48,,,
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-281,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,"2,069",400,-400,
Lưu chuyển tiền thuần trong kỳ,,401,-379,433,-53
Tiền và tương đương tiền đầu kỳ,,,497,118,551
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,,497,118,551,
