LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2016,Q2/2016,Q3/2016,Q4/2016,Q1/2017
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,584,729,785,604,418
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,4,5,17,20,16
Các khoản dự phòng,35,35,107,319,10
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-4,9,-61,6,3
"Lãi, lỗ từ hoạt động đầu tư",-7,-19,-15,-10,-2
Chi phí lãi vay,35,1,52,55,60
"Lãi, lỗ từ thanh lý TSCĐ",,39,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,-3,,,10,66
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,644,800,885,"1,003",571
"Tăng, giảm các khoản phải thu",-429,-34,-721,"-1,445",-713
"Tăng, giảm hàng tồn kho",-6,22,5,5,-14
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",63,69,-489,905,234
"Tăng, giảm chi phí trả trước",205,22,-56,626,309
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-35,-48,-62,-33,-52
Thuế thu nhập doanh nghiệp đã nộp,,-10,-30,,-31
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,442,822,-468,"1,062",305
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-472,"-1,781",-57,"-1,358","-2,883"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",180,90,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-9,-51,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",17,59,23,8,4
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,-1,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-284,"-1,683",-34,"-1,351","-2,879"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,72,,,"1,894"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"4,652","5,220","5,298","6,080","5,397"
4. Tiền trả nợ gốc vay,"-4,213","-3,323","-5,570","-4,928","-4,660"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,439,"1,968",-272,"1,151","2,631"
Lưu chuyển tiền thuần trong kỳ,597,"1,107",-775,863,57
Tiền và tương đương tiền đầu kỳ,924,"1,519","2,622","1,845","2,741"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-2,-4,-2,34,-5
Tiền và tương đương tiền cuối kỳ,"1,519","2,622","1,845","2,741","2,794"
