LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Soát xét,VST Tính
Công ty kiểm toán,,,,KPMG,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"3,362","3,045","2,204","3,476","3,444"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,296,299,306,311,314
Các khoản dự phòng,11,2,10,-5,3
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-3,-1,-2,2,3
"Lãi, lỗ từ hoạt động đầu tư",17,-18,9,-17,22
Chi phí lãi vay,9,10,20,13,4
"Lãi, lỗ từ thanh lý TSCĐ",13,-3,11,7,-7
Thu nhập lãi vay và cổ tức,-179,-158,-170,-186,-195
Phân bổ lợi thế thương mại,,,18,5,5
Điều chỉnh cho các khoản khác,-29,29,-16,,-36
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,497","3,205","2,390","3,606","3,557"
"Tăng, giảm các khoản phải thu",-9,-214,684,-536,-562
"Tăng, giảm hàng tồn kho",-379,416,-729,576,-291
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",271,172,294,74,865
"Tăng, giảm chi phí trả trước",19,-32,-16,2,-20
"Tăng, giảm chứng khoán kinh doanh",,11,,,
Tiền lãi vay đã trả,-6,-18,-6,-34,-4
Thuế thu nhập doanh nghiệp đã nộp,-420,-527,-696,-189,-434
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-21,-325,-86,-463,-107
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,953","2,688","1,834","3,035","3,003"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-124,-275,-564,-518,-609
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",8,19,15,14,44
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-1,68,-70,,"-1,298"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",3,-3,,1,301
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,6,-6,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-8,10,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",191,111,148,189,117
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,"1,322",-384,"-1,449",134,-134
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"1,398",-464,"-1,915",-181,"-1,578"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,355,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",-68,,67,-3,-220
3. Tiền thu từ đi vay,195,"2,404",794,679,726
4. Tiền trả nợ gốc vay,-240,"-2,434",-823,"-1,837",-792
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-2,400","-4,838",,,"-2,903"
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,-68,-137,133
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,513","-4,514",-31,"-1,298","-3,056"
Lưu chuyển tiền thuần trong kỳ,"1,838","-2,291",-112,"1,557","-1,631"
Tiền và tương đương tiền đầu kỳ,"1,228","3,060",773,655,"2,217"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-6,4,-5,5,5
Tiền và tương đương tiền cuối kỳ,"3,060",773,655,"2,217",591
