LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"13,922","11,640","12,652","13,764","15,058"
2. Chi phí lãi và các chi phí tương tự đã trả,"-4,215","-4,707","-4,211","-4,159","-4,435"
3. Thu nhập từ hoạt động dịch vụ nhận được,"1,022",704,"1,072","1,242","1,537"
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)","1,158",864,469,409,-394
5. Thu nhập khác,-395,-165,-5,"6,397",298
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",671,"1,324",588,714,"1,024"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-2,514","-2,378","-2,885","-3,179","-3,249"
8. Tiền thuế thu nhập thực nộp trong kỳ,-161,-500,"-1,750","-4,698",-4
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"9,488","6,781","5,929","10,489","9,833"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-4,393","5,490","-12,775","4,502","-4,863"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"17,980","-10,964","-3,858","-13,985","-10,602"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-51,51,-103,70,-486
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-9,680","-7,157","-38,025","-19,160","-18,038"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,"-3,943","-3,583","-1,793","-2,593","-4,311"
14. (Tăng)/Giảm khác về tài sản hoạt động,"-7,240","-2,552","-9,875","3,237","-4,810"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-17,3,"8,439","-7,154","-1,288"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","7,299","19,668","16,730","-10,865","19,043"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"1,165","5,766","2,480","32,312","21,271"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"2,455",770,"13,377","-4,514",-756
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-22,-20,-19,-17,-15
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-64,76,-76,,
21. Tăng/(Giảm) khác về công nợ hoạt động,-481,-159,775,448,914
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"12,496","14,171","-18,794","-7,230","5,891"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-9,-6,1,-2,-31
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",2,,1,,3
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,-17,-118,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,6,"25,928",,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,2,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-7,1,"25,914",-120,-28
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,-262,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,150,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,150,-262,,
IV- Lưu chuyển tiền thuần trong kỳ,"12,489","14,322","6,858","-7,349","5,863"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,,"53,778",
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"12,489","14,322","6,858","46,429","5,863"
