LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,353","1,367","1,277","1,119","1,370"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,354,332,341,353,354
Các khoản dự phòng,58,52,64,68,55
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,-1,25,47
"Lãi, lỗ từ hoạt động đầu tư",-341,-439,-420,-386,-547
Chi phí lãi vay,74,140,138,140,147
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,499","1,453","1,400","1,319","1,426"
"Tăng, giảm các khoản phải thu","-1,110",-9,"-5,952",-176,-271
"Tăng, giảm hàng tồn kho",151,129,282,-23,-44
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-191,154,"2,930",-109,-25
"Tăng, giảm chi phí trả trước",40,-16,7,-23,31
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-65,-110,-106,-113,-124
Thuế thu nhập doanh nghiệp đã nộp,-64,-61,"-1,212",-2,
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,260,"1,541","-2,651",873,995
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-5,482",-464,-396,-989,"-2,343"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-2,8,,3,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-960,"-2,908",,-5,"-2,428"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","1,944",612,904,"2,350","2,564"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-7,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,-544,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",349,37,231,197,166
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-4,701","-2,716",739,"1,556","-2,042"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"1,782",,,-1,995
4. Tiền trả nợ gốc vay,,,-1,1,-485
5. Tiền trả nợ gốc thuê tài chính,-5,-5,-5,-5,-5
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"1,777",-5,-6,-5,505
Lưu chuyển tiền thuần trong kỳ,"-2,665","-1,180","-1,918","2,424",-542
Tiền và tương đương tiền đầu kỳ,"6,766","4,102","2,921","1,003","3,427"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"4,102","2,921","1,003","3,427","2,885"
