LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,483,48,181,501,959
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,375,369,374,348,355
Các khoản dự phòng,8,37,82,22,3
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,,
"Lãi, lỗ từ hoạt động đầu tư",-122,-78,-49,-103,-104
Chi phí lãi vay,151,88,93,90,88
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,895,464,680,857,"1,302"
"Tăng, giảm các khoản phải thu",82,-328,347,206,-258
"Tăng, giảm hàng tồn kho",5,14,-305,52,-24
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",272,-16,-184,-136,-94
"Tăng, giảm chi phí trả trước",15,10,45,13,2
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-140,-94,-80,-87,-76
Thuế thu nhập doanh nghiệp đã nộp,,-169,-116,-101,-96
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,129",-119,388,804,755
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-648,-561,932,-435,103
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,466,-461,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,-408,-102,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3,071",500,100,295,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"-1,386",,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",156,83,78,30,165
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,-466,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,727,488,241,-212,268
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,,,,
4. Tiền trả nợ gốc vay,"-2,550",,,,
5. Tiền trả nợ gốc thuê tài chính,-11,11,-21,,-11
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,561",11,-21,,-11
Lưu chuyển tiền thuần trong kỳ,-704,380,608,591,"1,012"
Tiền và tương đương tiền đầu kỳ,"3,013","2,309","2,689","3,297","3,889"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"2,309","2,689","3,297","3,889","4,901"
