ACB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","4,080","4,852","4,819","5,340","5,221"
II. Tiền gửi tại NHNN,"7,411","8,315","10,544","7,070","7,872"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","10,551","8,942","15,940","17,355","15,467"
"1. Tiền, vàng gửi tại các TCTD khác","3,989","5,932","7,393","11,067","11,637"
2. Cho vay các TCTD khác,"6,751","3,163","8,687","6,428","3,970"
3. Dự phòng rủi ro cho vay các TCTD khác,-190,-154,-140,-140,-140
IV. Chứng khoán kinh doanh,584,"1,237",522,"1,118",792
1. Chứng khoán kinh doanh,651,"1,240",649,"1,276",934
2. Dự phòng giảm giá chứng khoán kinh doanh,-68,-3,-127,-157,-142
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,18,74,,,
VI. Cho vay khách hàng,"181,584","196,617","209,680","219,589","218,543"
1. Cho vay và cho thuê tài chính khách hàng,"184,475","198,462","211,670","221,861","220,939"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,891","-1,845","-1,990","-2,272","-2,396"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"54,755","52,718","47,720","49,659","54,569"
1. Chứng khoán đầu tư sẵn sàng để bán,"8,570","8,007","6,649","7,413","9,227"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"49,175","45,151","41,508","42,724","45,781"
3. Dự phòng giảm giá chứng khoán đầu tư,"-2,990",-441,-437,-478,-438
"VIII. Góp vốn, đầu tư dài hạn",189,190,190,190,180
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",2,2,2,2,2
3. Đầu tư dài hạn khác,194,194,194,194,184
4. Dự phòng giảm giá đầu tư dài hạn,-6,-6,-6,-6,-5
IX. Tài sản cố định,"3,036","3,008","3,029","3,126","3,141"
1. Tài sản cố định hữu hình,"2,501","2,475","2,506","2,628","2,629"
a. Nguyên giá TSCĐ,"4,019","4,048","4,138","4,319","4,383"
b. Hao mòn TSCĐ,"-1,518","-1,574","-1,631","-1,690","-1,754"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,535,533,523,498,512
a. Nguyên giá TSCĐ,782,790,791,777,802
b. Hao mòn TSCĐ,-247,-258,-268,-279,-290
X. Bất động sản đầu tư,257,256,256,236,223
a. Nguyên giá BĐSĐT,258,258,258,238,226
