ACB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,851","7,613","7,931","8,462","8,315"
2. Chi phí lãi và các chi phí tương tự,"4,431","4,501","4,296","4,046","3,675"
I. Thu nhập lãi thuần,"3,419","3,112","3,635","4,416","4,640"
3. Thu nhập từ hoạt động dịch vụ,639,632,736,797,880
4. Chi phí hoạt động dịch vụ,268,205,244,391,255
II. Lãi/lỗ thuần từ hoạt động dịch vụ,371,427,492,406,625
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,143,153,193,199,196
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,15,71,17,64,113
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,349,313,38,32,49
5. Thu nhập từ hoạt động khác,122,83,154,136,246
6. Chi phí hoạt động khác,42,61,43,70,197
VI. Lãi/lỗ thuần từ hoạt động khác,81,22,111,66,49
"VII. Thu nhập từ góp vốn, mua cổ phần",1,4,0,13,3
VIII. Chi phí hoạt động,"2,361","1,768","1,732","1,764","1,965"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,018","2,334","2,754","3,432","3,710"
X. Chi phí dự phòng rủi ro tín dụng,93,440,162,247,606
XI. Tổng lợi nhuận trước thuế (IX-X),"1,925","1,895","2,592","3,185","3,104"
7. Chi phí thuế TNDN hiện hành,402,394,511,633,710
8. Chi phí thuế TNDN hoãn lại,-15,-21,6,2,-89
XII. Chi phí thuế TNDN,388,373,517,635,621
XIII. Lợi nhuận sau thuế (XI-XII),"1,537","1,522","2,075","2,550","2,483"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,537","1,522","2,075","2,550","2,483"
Lãi cơ bản trên cổ phiếu (BCTC),928,,,,"1,149"
