BCM,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"29,188","29,598","28,630","29,524","28,946"
I. Tiền và các khoản tương đương tiền,"3,353","2,814","2,975","4,007","2,834"
1. Tiền,"1,884","1,981",335,"1,358",893
2. Các khoản tương đương tiền,"1,469",833,"2,640","2,649","1,941"
II.  Đầu tư tài chính ngắn hạn,96,122,224,230,271
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,96,122,224,230,271
III. Các khoản phải thu ngắn hạn,"3,304","3,429","4,870","3,695","4,340"
1. Phải thu ngắn hạn của khách hàng,"2,432","2,406","3,912","2,734","3,309"
2. Trả trước cho người bán ngắn hạn,118,162,144,146,79
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,6,6,6,6,6
6. Phải thu ngắn hạn khác,795,900,864,866,"1,001"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-46,-46,-57,-57,-55
8. Tài sản thiếu chờ xử lý,0,1,1,1,1
IV. Hàng tồn kho,"22,388","23,151","20,469","21,538","21,439"
1. Hàng tồn kho,"22,404","23,167","20,479","21,548","21,440"
2. Dự phòng giảm giá hàng tồn kho (*),-16,-16,-10,-10,-1
V. Tài sản ngắn hạn khác,47,82,91,55,61
1. Chi phí trả trước ngắn hạn,19,15,15,18,28
2. Thuế GTGT được khấu trừ,26,57,21,26,27
3. Thuế và các khoản khác phải thu của nhà nước,3,10,56,11,7
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"19,347","18,655","19,935","19,979","20,870"
I. Các khoản phải thu dài hạn,391,365,321,310,303
1. Phải thu dài hạn của khách hàng,358,344,308,299,292
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,33,21,13,11,11
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"1,283","1,241","1,220","1,206","1,203"
1. Tài sản cố định hữu hình,"1,134","1,095","1,070","1,051","1,056"
- Nguyên giá,"2,390","2,392","2,401","2,413","2,442"
- Giá trị hao mòn lũy kế (*),"-1,257","-1,296","-1,331","-1,362","-1,386"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
3. Tài sản cố định vô hình,149,145,149,156,148
- Nguyên giá,193,194,203,214,209
- Giá trị hao mòn lũy kế (*),-44,-49,-53,-58,-62
III. Bất động sản đầu tư,465,460,456,437,433
- Nguyên giá,547,547,547,529,529
- Giá trị hao mòn lũy kế (*),-82,-87,-92,-92,-96
IV. Tài sản dở dang dài hạn,"2,495","2,489","2,475","2,300","2,124"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","2,442","2,435","2,419","2,242","2,027"
2. Chi phí xây dựng cơ bản dở dang,53,53,56,58,97
V. Đầu tư tài chính dài hạn,"14,121","13,574","14,868","15,278","16,367"
1. Đầu tư vào công ty con,,,,,
