BCM,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,323","1,278","1,599","2,549","1,409"
2. Các khoản giảm trừ doanh thu,94,24,46,36,10
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,229","1,254","1,554","2,513","1,399"
4. Giá vốn hàng bán,665,700,828,"1,182",819
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,564,554,726,"1,331",580
6.Doanh thu hoạt động tài chính,4,7,3,5,31
7. Chi phí tài chính,147,167,159,95,153
Trong đó :Chi phí lãi vay,147,167,146,138,153
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",186,128,363,405,275
9. Chi phí bán hàng,164,161,152,213,127
10. Chi phí quản lý doanh nghiệp,82,93,89,451,96
11. Lợi nhuận thuần từ hoạt động kinh doanh,362,268,693,982,509
12. Thu nhập khác,8,17,12,35,8
13. Chi phí khác,6,9,15,25,9
14. Lợi nhuận khác,2,7,-3,11,-1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,364,276,690,993,508
16. Chi phí thuế TNDN hiện hành,60,28,58,129,68
17. Chi phí thuế TNDN hoãn lại,-27,0,1,-3,-28
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,332,248,631,867,468
Lợi ích của cổ đông thiểu số,22,26,45,93,11
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,311,223,586,774,457
19. Lãi cơ bản trên cổ phiếu (*),288,215,554,606,351
20. Lãi suy giảm trên cổ phiếu (*),288,215,554,606,351
