BCM,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"3,029","1,920","2,263","1,493","3,656"
2. Các khoản giảm trừ doanh thu,"1,627",582,223,102,131
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,402","1,338","2,040","1,391","3,524"
4. Giá vốn hàng bán,163,846,"1,073",762,"2,121"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,239",492,968,629,"1,403"
6.Doanh thu hoạt động tài chính,24,466,23,27,61
7. Chi phí tài chính,133,193,167,158,140
Trong đó :Chi phí lãi vay,107,181,156,147,124
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",397,183,250,331,474
9. Chi phí bán hàng,269,168,178,180,272
10. Chi phí quản lý doanh nghiệp,220,83,89,104,512
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,039",696,806,545,"1,014"
12. Thu nhập khác,37,15,19,25,42
13. Chi phí khác,15,11,4,7,22
14. Lợi nhuận khác,22,4,15,18,20
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,061",700,821,562,"1,034"
16. Chi phí thuế TNDN hiện hành,145,87,111,43,109
17. Chi phí thuế TNDN hoãn lại,-24,0,0,-6,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,940,613,710,526,926
Lợi ích của cổ đông thiểu số,78,16,40,35,70
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,862,598,670,491,856
19. Lãi cơ bản trên cổ phiếu (*),777,530,580,399,725
20. Lãi suy giảm trên cổ phiếu (*),777,530,580,399,725
