BID,Q1/2006,Q1/2009,Q1/2010,Q3/2010,Q3/2011
Giai đoạn,01/01-31/03,01/01-31/03,01/01-31/03,01/07-30/09,01/07-30/09
Hợp nhất,Đơn lẻ,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,184","3,188","3,665",,
II. Tiền gửi tại NHNN,"4,576","1,342","11,956",,
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","16,785","32,624","59,231",,
"1. Tiền, vàng gửi tại các TCTD khác",967,"28,552","50,966",,
2. Cho vay các TCTD khác,"15,818","4,387","8,512",,
3. Dự phòng rủi ro cho vay các TCTD khác,-316,-247,,,
IV. Chứng khoán kinh doanh,"12,809","1,412","1,220",,
1. Chứng khoán kinh doanh,"12,809","1,542","1,381",,
2. Dự phòng giảm giá chứng khoán kinh doanh,-130,-161,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,30,,,
VI. Cho vay khách hàng,"84,009","209,532","269,367",,
1. Cho vay và cho thuê tài chính khách hàng,"86,603","215,742","277,054",,
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,595","-6,209","-7,687",,
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"29,999","30,798",,,
1. Chứng khoán đầu tư sẵn sàng để bán,"27,998","29,379",,,
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,155","1,715",,,
3. Dự phòng giảm giá chứng khoán đầu tư,-153,-296,,,
"VIII. Góp vốn, đầu tư dài hạn",410,"3,232","3,992",,
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",410,"1,949","3,193",,
3. Đầu tư dài hạn khác,"1,374","1,000",,,
4. Dự phòng giảm giá đầu tư dài hạn,-91,-201,,,
IX. Tài sản cố định,820,"2,198","3,247",,
1. Tài sản cố định hữu hình,665,"1,167","1,342",,
a. Nguyên giá TSCĐ,665,"2,357","3,004",,
b. Hao mòn TSCĐ,"-1,190","-1,662",,,
2. Tài sản cố định thuê tài chính,337,343,,,
a. Nguyên giá TSCĐ,682,688,,,
b. Hao mòn TSCĐ,-345,-345,,,
3. Tài sản cố định vô hình,155,694,"1,562",,
a. Nguyên giá TSCĐ,155,884,"1,807",,
b. Hao mòn TSCĐ,-190,-244,,,
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","4,734","11,667","15,078",,
1. Các khoản phải thu,"8,947","7,876",,,
"2. Các khoản lãi, phí phải thu","1,306","2,340","4,481",,
3. Tài sản thuế TNDN hoãn lại,0,0,,,
4. Tài sản Có khác,"3,427",406,"2,748",,
- Trong đó: Lợi thế thương mại,6,2,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-26,-27,,,
TỔNG CỘNG TÀI SẢN,"125,327","295,196","398,584",,
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"20,141","26,066",,,
II. Tiền gửi và vay các TCTD khác,"17,115","23,382","27,709",,
1. Tiền gửi của các TCTD khác,"14,934","3,167","9,348",,
2. Vay các TCTD khác,"2,181","20,214","18,361",,
III. Tiền gửi của khách hàng,"88,193","190,381","243,633",,
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,45,0,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","7,992","21,467","60,787",,
VI. Phát hành giấy tờ có giá,"3,181","8,466","5,326",,
VII. Các khoản nợ khác,"1,917","8,891","10,195",,
"1. Các khoản lãi, phí phải trả","1,915","2,960","5,102",,
2. Thuế TNDN hoãn lại phải trả,2,0,0,,
3. Các khoản phải trả và công nợ khác,"5,667","4,083",,,
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),263,"1,011",,,
TỔNG NỢ PHẢI TRẢ,"118,399","272,773","373,716",,
VIII. Vốn và các quỹ,"6,928","22,423","24,648",,
1. Vốn của TCTD,"4,634","16,009","14,970",,
a. Vốn điều lệ,"3,971","14,093","12,948",,
b. Vốn đầu tư XDCB,"1,917","1,917",,,
c. Thặng dư vốn cổ phần,0,0,,,
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,663,0,105,,
2. Quỹ của TCTD,"1,652","4,144","6,510",,
3. Chênh lệch tỷ giá hối đoái,344,349,,,
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,642,"1,925","2,819",,
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,219,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"125,327","295,196","398,584",,
