BID,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"14,062","16,644","17,766","17,648","19,029"
2. Chi phí lãi và các chi phí tương tự,"9,367","10,138","10,735","10,843","11,827"
I. Thu nhập lãi thuần,"4,694","6,506","7,031","6,806","7,202"
3. Thu nhập từ hoạt động dịch vụ,"1,060","1,085","1,394","1,142","1,445"
4. Chi phí hoạt động dịch vụ,407,521,612,568,609
II. Lãi/lỗ thuần từ hoạt động dịch vụ,653,565,782,574,836
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,116,169,160,122,181
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,141,165,57,104,56
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-42,23,434,-67,50
5. Thu nhập từ hoạt động khác,829,900,"1,473",475,"1,017"
6. Chi phí hoạt động khác,398,410,"1,014",265,286
VI. Lãi/lỗ thuần từ hoạt động khác,431,490,460,210,731
"VII. Thu nhập từ góp vốn, mua cổ phần",921,146,10,138,-149
VIII. Chi phí hoạt động,"3,143","3,154","4,654","3,262","3,618"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,770","4,908","4,278","4,625","5,290"
X. Chi phí dự phòng rủi ro tín dụng,"2,536","2,478","2,302","2,348","3,859"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,234","2,430","1,977","2,277","1,431"
7. Chi phí thuế TNDN hiện hành,242,448,416,432,473
8. Chi phí thuế TNDN hoãn lại,,-7,-3,-4,-4
XII. Chi phí thuế TNDN,242,441,412,428,469
XIII. Lợi nhuận sau thuế (XI-XII),991,"1,989","1,564","1,849",962
XIV. Lợi ích của cổ đông thiểu số,16,23,26,25,80
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),975,"1,966","1,539","1,824",882
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
