BVH,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,EY,EY,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"69,981","72,897","74,527","77,438","79,842"
I.   Tiền và các khoản tương đương tiền,"2,159","3,033","1,871","1,994","4,746"
1. Tiền,"1,767","2,371","1,416","1,650","3,547"
2. Các khoản tương đương tiền,393,662,454,344,"1,199"
II.  Đầu tư tài chính ngắn hạn,"55,408","57,601","60,603","62,349","63,081"
1. Chứng khoán kinh doanh,"3,224","3,307","3,211","3,697","2,831"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-401,-339,-362,-394,-263
3. Đầu tư nắm giữ đến ngày đáo hạn,"52,585","54,633","57,754","59,046","60,512"
III. Các khoản phải thu ngắn hạn,"8,194","8,263","7,993","9,101","8,132"
1. Phải thu ngắn hạn của khách hàng,"6,234","6,374","6,186","7,166","6,610"
1.1. Phải thu về hợp đồng bảo hiểm,"2,926","2,871","2,224","2,877","2,802"
1.2. Phải thu khác của khách hàng,"3,308","3,503","3,962","4,289","3,808"
2. Trả trước cho người bán ngắn hạn,31,19,56,69,24
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu về cho vay ngắn hạn,"1,721","1,731","1,751","1,769","1,559"
5. Phải thu ngắn hạn khác,573,507,376,489,329
6. Dự phòng phải thu ngắn hạn khó đòi (*),-365,-370,-376,-392,-390
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
IV. Hàng tồn kho,150,166,148,143,118
1. Hàng tồn kho,150,166,148,143,118
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,702,748,709,694,722
1. Chi phí trả trước ngắn hạn,656,654,613,652,688
1.1. Chi phí hoa hồng chưa phân bổ,600,578,548,591,624
1.2. Chi phí trả trước ngắn hạn khác,56,76,65,61,63
2. Thuế GTGT còn được khấu trừ,29,30,28,29,26
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,0
