BVH,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,EY,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"40,745","44,423","55,324","54,984","54,557"
I.   Tiền và các khoản tương đương tiền,"3,393","3,793","11,163","5,911","3,066"
1. Tiền,"1,823","1,604","10,682","4,650","2,532"
2. Các khoản tương đương tiền,"1,570","2,189",481,"1,261",534
II.  Đầu tư tài chính ngắn hạn,"29,312","30,661","34,617","38,529","40,355"
1. Chứng khoán kinh doanh,"2,270","2,649","2,739","2,924","3,126"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-341,-297,-303,-418,-372
3. Đầu tư nắm giữ đến ngày đáo hạn,"27,383","28,310","32,181","36,023","37,601"
III. Các khoản phải thu ngắn hạn,"5,628","6,684","6,186","6,567","7,119"
1. Phải thu ngắn hạn của khách hàng,"4,444","5,259","4,237","4,759","5,320"
1.1. Phải thu về hợp đồng bảo hiểm,"1,763","2,190","1,734","2,135","2,357"
1.2. Phải thu khác của khách hàng,"2,681","3,068","2,503","2,625","2,963"
2. Trả trước cho người bán ngắn hạn,34,14,34,26,28
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu về cho vay ngắn hạn,"1,101","1,315","1,677","1,621","1,500"
5. Phải thu ngắn hạn khác,441,506,639,529,637
6. Dự phòng phải thu ngắn hạn khó đòi (*),-393,-410,-401,-369,-366
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
IV. Hàng tồn kho,143,145,154,154,154
1. Hàng tồn kho,143,145,154,154,154
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,569,598,609,615,640
1. Chi phí trả trước ngắn hạn,524,552,570,570,594
1.1. Chi phí hoa hồng chưa phân bổ,468,512,515,488,544
1.2. Chi phí trả trước ngắn hạn khác,56,40,55,82,49
2. Thuế GTGT còn được khấu trừ,29,30,31,32,30
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,17,15,8,13,15
VIII. Tài sản tái bảo hiểm,"1,699","2,541","2,595","3,208","3,224"
1. Dự phòng phí nhượng tái bảo hiểm,999,"1,084","1,160","1,286","1,454"
2. Dự phòng bồi thường nhượng tái bảo hiểm,700,"1,457","1,436","1,922","1,771"
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"45,041","46,945","44,311","45,585","46,426"
