BVH,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),"11,115","10,323","10,708","10,474","11,190"
- Thu phí bảo hiểm gốc,"11,275","10,406","10,431","10,608","11,171"
- Thu phí nhận tái bảo hiểm,71,41,60,51,66
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,231,124,-217,186,47
2. Phí nhượng tái bảo hiểm,832,874,886,901,862
- Phí nhượng tái bảo hiểm,907,925,807,896,835
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,75,51,-79,-5,-27
Các khoản giảm trừ,,,,,
- Giảm phí Bảo hiểm,,,,,
- Hoàn phí Bảo hiểm,,,,,
- Các khoản giảm trừ khác,,,,,
"Tăng (giảm) dự phòng phí, dự phòng toán học",,,,,
3. Doanh thu phí bảo hiểm thuần (03=01-02),"10,283","9,449","9,822","9,573","10,328"
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),288,170,168,174,178
- Thu hoa hồng nhượng tái Bảo hiểm,288,170,168,174,178
- Thu khác hoạt động kinh doanh Bảo hiểm,,,,,
+ Thu khác nhận tái Bảo hiểm,,,,,
+ Thu khác nhượng tái bảo hiểm,,,,,
"+ Thu khác (giám định, đại lý,…)",,,,,
5. Doanh thu thuần HĐKD BH (10=03+04),"10,570","9,619","9,991","9,746","10,506"
5.1. Doanh thuần BH và CCDV,,,,,
6. Chi bồi thường,"5,151","4,503","4,987","4,938","5,354"
- Tổng chi bồi thường,"5,152","4,503","4,987","4,938","5,355"
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm","5,131","4,499","4,966","4,930","5,326"
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",21,4,22,9,29
- Các khoản giảm trừ,0,0,1,0,1
+ Thu đòi người thứ ba bồi hoàn,0,,1,0,
+ Thu hàng đã xử lý bồi thường 100%,0,0,0,0,1
7. Thu bồi thường nhượng tái bảo hiểm,394,218,222,291,450
