CTG,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","9,760","9,408","9,458","10,239","11,148"
II. Tiền gửi tại NHNN,"40,597","17,341","28,980","26,612","34,432"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","279,842","332,707","351,234","378,231","378,483"
"1. Tiền, vàng gửi tại các TCTD khác","259,230","314,264","334,405","367,173","370,530"
2. Cho vay các TCTD khác,"20,612","18,443","16,829","11,059","7,953"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"2,488","1,935","2,259","3,234","2,798"
1. Chứng khoán kinh doanh,"2,676","2,119","2,440","3,418","2,991"
2. Dự phòng giảm giá chứng khoán kinh doanh,-188,-184,-181,-184,-193
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,265,351,,,
VI. Cho vay khách hàng,"1,445,572","1,483,622","1,543,489","1,569,844","1,685,291"
1. Cho vay và cho thuê tài chính khách hàng,"1,473,345","1,514,398","1,571,529","1,605,381","1,721,955"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-27,773","-30,775","-28,040","-35,537","-36,664"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"181,311","164,156","159,855","181,056","214,608"
1. Chứng khoán đầu tư sẵn sàng để bán,"180,695","158,650","149,385","159,436","188,557"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,865,"5,865","10,864","22,216","26,636"
3. Dự phòng giảm giá chứng khoán đầu tư,-250,-359,-394,-596,-585
"VIII. Góp vốn, đầu tư dài hạn","3,427","3,530","3,744","3,762","3,934"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","3,206","3,310","3,524","3,542","3,707"
3. Đầu tư dài hạn khác,234,234,234,234,234
4. Dự phòng giảm giá đầu tư dài hạn,-14,-14,-14,-14,-7
IX. Tài sản cố định,"10,126","9,921","9,764","9,623","10,002"
