CTG,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"10,292","10,450","10,976","10,754","12,274"
2. Chi phí lãi và các chi phí tương tự,"5,599","5,522","6,067","6,445","6,897"
I. Thu nhập lãi thuần,"4,692","4,928","4,909","4,309","5,378"
3. Thu nhập từ hoạt động dịch vụ,436,783,673,760,707
4. Chi phí hoạt động dịch vụ,165,376,287,363,330
II. Lãi/lỗ thuần từ hoạt động dịch vụ,271,407,386,396,377
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,37,28,30,-76,221
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,99,15,19,-4,83
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-43,-64,-74,235,32
5. Thu nhập từ hoạt động khác,605,776,"1,070","1,657",794
6. Chi phí hoạt động khác,421,385,428,673,394
VI. Lãi/lỗ thuần từ hoạt động khác,185,392,642,984,400
"VII. Thu nhập từ góp vốn, mua cổ phần",15,39,0,-12,2
VIII. Chi phí hoạt động,"2,182","2,403","2,781","3,354","2,646"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,074","3,340","3,131","2,479","3,846"
X. Chi phí dự phòng rủi ro tín dụng,"1,510","1,026","1,284",859,"1,441"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,564","2,315","1,847","1,620","2,405"
7. Chi phí thuế TNDN hiện hành,316,527,420,365,481
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,316,527,420,365,481
XIII. Lợi nhuận sau thuế (XI-XII),"1,248","1,787","1,427","1,255","1,924"
XIV. Lợi ích của cổ đông thiểu số,3,6,4,7,4
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,245","1,781","1,423","1,248","1,919"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
