FPT,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"36,710","37,679","40,823","42,605","45,475"
I. Tiền và các khoản tương đương tiền,"8,279","6,341","6,836","7,936","9,315"
1. Tiền,"5,975","5,412","5,620","5,251","6,726"
2. Các khoản tương đương tiền,"2,304",930,"1,216","2,684","2,590"
II.  Đầu tư tài chính ngắn hạn,"16,104","18,230","19,916","19,443","21,785"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"16,104","18,230","19,916","19,443","21,785"
III. Các khoản phải thu ngắn hạn,"9,534","10,055","10,993","11,875","11,380"
1. Phải thu ngắn hạn của khách hàng,"9,045","9,394","10,309","10,800","10,537"
2. Trả trước cho người bán ngắn hạn,348,628,599,566,610
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,183,190,197,194,136
5. Phải thu về cho vay ngắn hạn,1,1,19,34,10
6. Phải thu ngắn hạn khác,869,820,854,900,706
7. Dự phòng phải thu ngắn hạn khó đòi (*),-912,-978,-985,-619,-620
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,593","1,856","1,884","2,059","1,836"
1. Hàng tồn kho,"1,725","1,997","2,021","2,194","1,969"
2. Dự phòng giảm giá hàng tồn kho (*),-132,-140,-137,-135,-133
V. Tài sản ngắn hạn khác,"1,199","1,196","1,195","1,293","1,159"
1. Chi phí trả trước ngắn hạn,583,626,581,618,454
2. Thuế GTGT được khấu trừ,532,480,519,605,649
3. Thuế và các khoản khác phải thu của nhà nước,84,89,95,70,57
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"23,616","24,346","24,499","24,976","26,538"
I. Các khoản phải thu dài hạn,247,320,316,347,332
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
