FPT,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"11,149","13,053","11,683","12,485","13,762"
2. Các khoản giảm trừ doanh thu,0,11,2,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"11,149","13,042","11,681","12,484","13,762"
4. Giá vốn hàng bán,"6,789","7,801","7,113","7,851","8,265"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,359","5,241","4,568","4,634","5,496"
6.Doanh thu hoạt động tài chính,550,526,676,623,516
7. Chi phí tài chính,414,644,497,287,406
Trong đó :Chi phí lãi vay,167,157,148,212,266
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",91,98,44,-66,40
9. Chi phí bán hàng,"1,131","1,481","1,102","1,238","1,434"
10. Chi phí quản lý doanh nghiệp,"1,461","1,762","1,592","1,476","1,774"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,994","1,978","2,097","2,190","2,438"
12. Thu nhập khác,46,67,43,47,47
13. Chi phí khác,12,56,19,19,56
14. Lợi nhuận khác,34,11,24,28,-9
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,028","1,989","2,121","2,218","2,429"
16. Chi phí thuế TNDN hiện hành,306,336,308,338,345
17. Chi phí thuế TNDN hoãn lại,-34,33,3,25,9
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,756","1,620","1,810","1,856","2,076"
Lợi ích của cổ đông thiểu số,302,268,316,346,337
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,454","1,352","1,494","1,509","1,739"
19. Lãi cơ bản trên cổ phiếu (*),"1,329","1,235","1,361","1,373","1,373"
20. Lãi suy giảm trên cổ phiếu (*),"1,329","1,235","1,361","1,373","1,373"
