GAS,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"37,163","38,219","42,989","45,451","38,970"
I. Tiền và các khoản tương đương tiền,"12,898","13,672","14,666","9,787","7,303"
1. Tiền,"1,738","1,730","2,736","1,943","2,627"
2. Các khoản tương đương tiền,"11,160","11,942","11,931","7,844","4,676"
II.  Đầu tư tài chính ngắn hạn,"13,367","13,407","15,040","20,629","20,999"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"13,367","13,407","15,040","20,629","20,999"
III. Các khoản phải thu ngắn hạn,"8,607","9,115","10,881","12,407","8,973"
1. Phải thu ngắn hạn của khách hàng,"3,833","4,939","4,984","6,023","3,948"
2. Trả trước cho người bán ngắn hạn,195,159,144,140,169
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,"4,775","4,335","6,019","6,515","5,129"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-195,-318,-266,-272,-273
8. Tài sản thiếu chờ xử lý,1,,,,
IV. Hàng tồn kho,"1,855","1,652","2,071","2,215","1,302"
1. Hàng tồn kho,"1,939","1,744","2,169","2,314","1,404"
2. Dự phòng giảm giá hàng tồn kho (*),-85,-92,-97,-99,-103
V. Tài sản ngắn hạn khác,436,372,330,414,394
1. Chi phí trả trước ngắn hạn,95,86,88,141,139
2. Thuế GTGT được khấu trừ,284,236,193,221,207
3. Thuế và các khoản khác phải thu của nhà nước,58,51,49,52,47
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,0,0,0,,
B. TÀI SẢN DÀI HẠN,"23,417","23,568","23,161","22,552","22,030"
I. Các khoản phải thu dài hạn,202,191,187,198,214
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,85,62,64,68,65
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,117,129,123,129,149
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"15,590","15,497","20,319","19,778","19,168"
1. Tài sản cố định hữu hình,"15,144","15,026","19,816","19,314","18,706"
- Nguyên giá,"43,606","44,126","49,627","49,845","49,968"
- Giá trị hao mòn lũy kế (*),"-28,462","-29,100","-29,811","-30,530","-31,263"
