GAS,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,Deloitte,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"16,374","15,157","16,063","15,793","17,076"
2. Các khoản giảm trừ doanh thu,12,15,11,43,9
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"16,362","15,142","16,052","15,750","17,067"
4. Giá vốn hàng bán,"12,588","11,165","11,199","11,398","12,740"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,775","3,977","4,853","4,352","4,327"
6.Doanh thu hoạt động tài chính,253,275,263,304,338
7. Chi phí tài chính,146,156,133,207,148
Trong đó :Chi phí lãi vay,125,97,90,120,105
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,314,388,332,299,326
10. Chi phí quản lý doanh nghiệp,398,630,394,469,439
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,170","3,077","4,257","3,682","3,752"
12. Thu nhập khác,11,24,"1,158",18,9
13. Chi phí khác,6,12,32,1,20
14. Lợi nhuận khác,5,12,"1,126",17,-11
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,2,1,0,2,1
15. Tổng lợi nhuận kế toán trước thuế,"3,178","3,090","5,383","3,700","3,742"
16. Chi phí thuế TNDN hiện hành,596,499,"1,008",698,669
17. Chi phí thuế TNDN hoãn lại,2,,0,-2,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,579","2,592","4,375","3,004","3,073"
Lợi ích của cổ đông thiểu số,96,92,83,96,84
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,483","2,499","4,292","2,909","2,989"
19. Lãi cơ bản trên cổ phiếu (*),"1,310","1,319","2,263","1,533","1,575"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
