GVR,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"18,388","17,374","17,616","18,115","20,681"
I. Tiền và các khoản tương đương tiền,"5,162","4,149","4,727","4,458","6,242"
1. Tiền,"1,711","1,549",991,"1,314","1,919"
2. Các khoản tương đương tiền,"3,451","2,600","3,736","3,144","4,324"
II.  Đầu tư tài chính ngắn hạn,"5,600","5,712","5,934","6,460","7,441"
1. Chứng khoán kinh doanh,12,12,12,7,7
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-8,-8,-8,-4,-4
3. Đầu tư nắm giữ đến ngày đáo hạn,"5,596","5,708","5,930","6,458","7,438"
III. Các khoản phải thu ngắn hạn,"3,086","3,354","2,832","2,852","2,792"
1. Phải thu ngắn hạn của khách hàng,"1,844","1,194",963,"1,056","1,143"
2. Trả trước cho người bán ngắn hạn,570,611,568,527,694
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,16,12,11,2,11
6. Phải thu ngắn hạn khác,"1,257","1,669","1,439","1,495","1,115"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-623,-153,-188,-249,-191
8. Tài sản thiếu chờ xử lý,21,21,39,21,21
IV. Hàng tồn kho,"3,560","3,147","3,095","3,302","3,196"
1. Hàng tồn kho,"3,598","3,201","3,145","3,347","3,247"
2. Dự phòng giảm giá hàng tồn kho (*),-38,-54,-50,-45,-51
V. Tài sản ngắn hạn khác,981,"1,012","1,028","1,043","1,011"
1. Chi phí trả trước ngắn hạn,108,160,143,286,104
2. Thuế GTGT được khấu trừ,467,437,440,443,475
3. Thuế và các khoản khác phải thu của nhà nước,407,415,444,314,431
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"59,311","59,192","58,442","57,905","57,490"
I. Các khoản phải thu dài hạn,"1,528",937,936,954,708
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,77,77,77,76,76
