GVR,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"5,690","6,161","9,678","4,905","5,574"
2. Các khoản giảm trừ doanh thu,2,10,22,11,15
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"5,688","6,151","9,656","4,893","5,559"
4. Giá vốn hàng bán,"4,059","4,062","7,091","3,423","4,063"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,629","2,089","2,564","1,470","1,496"
6.Doanh thu hoạt động tài chính,198,175,264,178,241
7. Chi phí tài chính,143,176,225,145,169
Trong đó :Chi phí lãi vay,130,147,150,126,122
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",86,30,51,53,74
9. Chi phí bán hàng,103,116,193,113,127
10. Chi phí quản lý doanh nghiệp,576,421,462,345,397
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,091","1,581","1,999","1,097","1,117"
12. Thu nhập khác,334,131,590,451,375
13. Chi phí khác,67,42,491,49,67
14. Lợi nhuận khác,267,89,99,402,308
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,357","1,670","2,098","1,499","1,425"
16. Chi phí thuế TNDN hiện hành,185,175,368,195,234
17. Chi phí thuế TNDN hoãn lại,12,-39,-57,-11,-8
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,160","1,533","1,787","1,316","1,199"
Lợi ích của cổ đông thiểu số,314,293,349,261,131
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,846,"1,241","1,438","1,055","1,068"
19. Lãi cơ bản trên cổ phiếu (*),211,310,359,264,267
20. Lãi suy giảm trên cổ phiếu (*),,,,,
