GVR,Q1/2016,Q2/2016,Q3/2016,Q1/2017,Q2/2017
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,42,55,97,96,93
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,42,55,97,96,93
4. Giá vốn hàng bán,42,33,93,87,72
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1,21,4,9,21
6.Doanh thu hoạt động tài chính,18,250,111,32,541
7. Chi phí tài chính,4,8,-40,2,-4
Trong đó :Chi phí lãi vay,0,8,0,,7
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,0,0,1,0,0
10. Chi phí quản lý doanh nghiệp,29,42,38,31,57
11. Lợi nhuận thuần từ hoạt động kinh doanh,-15,220,116,9,508
12. Thu nhập khác,1,1,5,1,2
13. Chi phí khác,,,4,,
14. Lợi nhuận khác,1,1,1,1,2
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,-14,221,117,10,511
16. Chi phí thuế TNDN hiện hành,,9,5,1,3
17. Chi phí thuế TNDN hoãn lại,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,-14,212,112,10,508
Lợi ích của cổ đông thiểu số,,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,-14,212,112,10,508
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
