HDB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,893","2,298","2,124","2,257","2,351"
II. Tiền gửi tại NHNN,"1,892","3,186","4,662","7,788","6,209"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","18,920","23,330","32,765","44,811","50,448"
"1. Tiền, vàng gửi tại các TCTD khác","18,720","23,330","32,765","44,711","49,851"
2. Cho vay các TCTD khác,200,100,596,,
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"4,813","3,050","9,222","12,478","10,977"
1. Chứng khoán kinh doanh,"4,816","3,071","9,244","12,478","10,977"
2. Dự phòng giảm giá chứng khoán kinh doanh,-4,-22,-22,0,0
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,85,,,,
VI. Cho vay khách hàng,"150,733","158,574","162,533","176,388","185,334"
1. Cho vay và cho thuê tài chính khách hàng,"152,405","160,372","164,463","178,323","187,279"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,672","-1,798","-1,929","-1,935","-1,945"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"40,554","39,903","48,949","58,237","53,219"
1. Chứng khoán đầu tư sẵn sàng để bán,"16,118","13,380","18,965","30,143","28,694"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"25,053","26,624","30,090","28,181","24,613"
3. Dự phòng giảm giá chứng khoán đầu tư,-617,-100,-106,-88,-87
"VIII. Góp vốn, đầu tư dài hạn",161,155,155,154,154
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,185,185,185,185,185
