HDB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,747","2,931","3,281","3,419","3,604"
2. Chi phí lãi và các chi phí tương tự,"1,574","1,755","1,903","2,063","2,194"
I. Thu nhập lãi thuần,"1,173","1,176","1,378","1,356","1,410"
3. Thu nhập từ hoạt động dịch vụ,43,55,49,57,64
4. Chi phí hoạt động dịch vụ,13,14,20,25,14
II. Lãi/lỗ thuần từ hoạt động dịch vụ,30,42,29,32,51
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,52,44,57,34,56
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-17,33,45,-1,4
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,20,5,118,43,117
5. Thu nhập từ hoạt động khác,17,25,128,27,68
6. Chi phí hoạt động khác,7,8,49,5,37
VI. Lãi/lỗ thuần từ hoạt động khác,11,17,79,22,31
"VII. Thu nhập từ góp vốn, mua cổ phần",128,9,,0,43
VIII. Chi phí hoạt động,769,831,992,894,990
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),628,496,713,593,722
X. Chi phí dự phòng rủi ro tín dụng,286,353,210,205,228
XI. Tổng lợi nhuận trước thuế (IX-X),341,142,503,387,494
7. Chi phí thuế TNDN hiện hành,44,27,96,78,90
8. Chi phí thuế TNDN hoãn lại,,,6,,
XII. Chi phí thuế TNDN,44,27,102,78,90
XIII. Lợi nhuận sau thuế (XI-XII),298,115,401,310,403
XIV. Lợi ích của cổ đông thiểu số,43,49,48,42,52
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),255,66,353,267,352
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
