HPG,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"11,503","11,258","12,062","11,922","11,643"
I. Tiền và các khoản tương đương tiền,"1,453","2,023","2,107","2,375","2,926"
1. Tiền,676,417,351,349,731
2. Các khoản tương đương tiền,778,"1,605","1,756","2,026","2,195"
II.  Đầu tư tài chính ngắn hạn,847,"1,035",967,758,831
1. Chứng khoán kinh doanh,0,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,847,"1,035",967,758,831
III. Các khoản phải thu ngắn hạn,"1,994","1,937","1,969","1,608","1,705"
1. Phải thu ngắn hạn của khách hàng,"1,199","1,139","1,213","1,211","1,237"
2. Trả trước cho người bán ngắn hạn,797,795,752,390,458
3. Phải thu nội bộ ngắn hạn,0,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,,,,
5. Phải thu về cho vay ngắn hạn,0,,,,
6. Phải thu ngắn hạn khác,35,42,44,47,50
7. Dự phòng phải thu ngắn hạn khó đòi (*),-38,-40,-41,-41,-41
8. Tài sản thiếu chờ xử lý,1,1,1,1,1
IV. Hàng tồn kho,"7,097","6,134","6,811","6,938","6,034"
1. Hàng tồn kho,"7,303","6,360","7,037","7,208","6,275"
2. Dự phòng giảm giá hàng tồn kho (*),-206,-226,-226,-271,-241
V. Tài sản ngắn hạn khác,111,130,209,243,147
1. Chi phí trả trước ngắn hạn,25,28,27,23,27
2. Thuế GTGT được khấu trừ,73,88,160,212,112
3. Thuế và các khoản khác phải thu của nhà nước,12,12,19,8,6
4. Giao dịch mua bán lại trái phiếu chính phủ,0,,,,
5. Tài sản ngắn hạn khác,2,2,2,0,2
