HPG,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"34,441","26,212","26,865","29,799","28,766"
2. Các khoản giảm trừ doanh thu,337,386,277,303,282
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"34,103","25,826","26,589","29,496","28,484"
4. Giá vốn hàng bán,"33,103","26,711","24,912","26,301","24,889"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,001",-885,"1,676","3,195","3,595"
6.Doanh thu hoạt động tài chính,886,"1,541",903,740,851
7. Chi phí tài chính,"2,309","1,688","1,331","1,349","1,438"
Trong đó :Chi phí lãi vay,837,933,990,"1,029",856
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,635,716,477,540,578
10. Chi phí quản lý doanh nghiệp,294,343,281,332,301
11. Lợi nhuận thuần từ hoạt động kinh doanh,"-1,352","-2,091",492,"1,715","2,128"
12. Thu nhập khác,198,231,146,191,203
13. Chi phí khác,146,218,106,204,157
14. Lợi nhuận khác,52,13,40,-13,46
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"-1,300","-2,079",532,"1,702","2,174"
16. Chi phí thuế TNDN hiện hành,149,-32,295,207,214
17. Chi phí thuế TNDN hoãn lại,337,-47,-147,47,-40
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"-1,786","-1,999",383,"1,448","2,000"
Lợi ích của cổ đông thiểu số,-12,-7,-14,-12,-4
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"-1,774","-1,992",397,"1,460","2,005"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
