LPB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",651,"1,131",640,819,945
II. Tiền gửi tại NHNN,"4,625","11,494","12,220","2,215","5,751"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","9,615","2,485","9,277","3,564","1,473"
"1. Tiền, vàng gửi tại các TCTD khác","6,941","1,990","8,097","1,834","1,173"
2. Cho vay các TCTD khác,"2,678",499,"1,185","1,735",305
3. Dự phòng rủi ro cho vay các TCTD khác,-5,-5,-5,-5,-5
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,28,1,19,64,
VI. Cho vay khách hàng,"64,245","71,880","78,706","87,777","91,362"
1. Cho vay và cho thuê tài chính khách hàng,"64,972","72,657","79,676","88,869","92,532"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-727,-777,-970,"-1,092","-1,170"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"36,384","36,807","33,246","35,029","34,526"
1. Chứng khoán đầu tư sẵn sàng để bán,"34,395","35,085","32,497","34,341","33,375"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,649","2,612","1,553","1,553","1,826"
3. Dự phòng giảm giá chứng khoán đầu tư,-660,-890,-803,-866,-675
"VIII. Góp vốn, đầu tư dài hạn",325,325,325,325,325
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,325,325,325,325,325
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,180","1,173","1,255","1,223","1,275"
1. Tài sản cố định hữu hình,757,750,829,798,821
a. Nguyên giá TSCĐ,"1,264","1,295","1,415","1,424","1,489"
b. Hao mòn TSCĐ,-507,-545,-586,-626,-667
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,423,422,426,425,453
a. Nguyên giá TSCĐ,478,480,488,489,522
b. Hao mòn TSCĐ,-55,-58,-61,-65,-69
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","10,735","7,785","6,177","7,008","6,523"
1. Các khoản phải thu,"6,499","4,298","2,717","3,405","2,546"
"2. Các khoản lãi, phí phải thu","3,718","2,959","2,862","2,717","3,375"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,525,531,601,938,603
- Trong đó: Lợi thế thương mại,346,329,311,139,131
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-6,-3,-3,-51,
TỔNG CỘNG TÀI SẢN,"127,789","133,080","141,865","138,023","142,180"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,260,296,311,"1,094","1,328"
II. Tiền gửi và vay các TCTD khác,"4,125","14,637","14,797","8,976","14,689"
1. Tiền gửi của các TCTD khác,"1,689","8,102","7,960","4,657","10,345"
2. Vay các TCTD khác,"2,435","6,536","6,837","4,319","4,344"
III. Tiền gửi của khách hàng,"110,806","104,053","110,985","111,494","108,118"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,27,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,094","1,097","1,108","1,114","1,122"
VI. Phát hành giấy tờ có giá,"2,000","3,000","4,100","4,582","5,823"
VII. Các khoản nợ khác,"1,866","2,028","2,233","2,396","2,351"
"1. Các khoản lãi, phí phải trả","1,559","1,699","1,671","1,745","1,887"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,307,329,562,651,464
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"120,150","125,112","133,533","129,657","133,458"
VIII. Vốn và các quỹ,"7,638","7,969","8,332","8,366","8,722"
1. Vốn của TCTD,"6,523","6,523","6,523","6,523","6,523"
a. Vốn điều lệ,"6,460","6,460","6,460","6,460","6,460"
b. Vốn đầu tư XDCB,63,63,,,
c. Thặng dư vốn cổ phần,63,63,63,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,63,,,,
2. Quỹ của TCTD,713,713,868,868,868
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,401,732,941,975,"1,331"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"127,789","133,080","141,865","138,023","142,180"
