LPB,Q2/2012,Q3/2012,Q2/2013,Q1/2014,Q3/2014
Giai đoạn,01/04-30/06,01/07-30/09,01/04-30/06,01/01-31/03,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,525,451,"1,472","1,420","1,399"
2. Chi phí lãi và các chi phí tương tự,0,0,"1,012",951,962
I. Thu nhập lãi thuần,525,451,460,470,437
3. Thu nhập từ hoạt động dịch vụ,-33,-38,12,12,9
4. Chi phí hoạt động dịch vụ,0,0,57,77,88
II. Lãi/lỗ thuần từ hoạt động dịch vụ,-33,-38,-46,-65,-78
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,15,-15,6,13,-8
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,-5,-36,0,0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,0,13,49,-37
5. Thu nhập từ hoạt động khác,-9,16,46,4,7
6. Chi phí hoạt động khác,0,0,11,4,55
VI. Lãi/lỗ thuần từ hoạt động khác,-9,16,35,0,-48
"VII. Thu nhập từ góp vốn, mua cổ phần",0,0,,,
VIII. Chi phí hoạt động,212,245,265,283,338
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),286,164,166,183,-72
X. Chi phí dự phòng rủi ro tín dụng,84,82,110,,-52
XI. Tổng lợi nhuận trước thuế (IX-X),202,82,56,183,-20
7. Chi phí thuế TNDN hiện hành,12,14,14,22,
8. Chi phí thuế TNDN hoãn lại,0,0,,,
XII. Chi phí thuế TNDN,12,14,14,22,
XIII. Lợi nhuận sau thuế (XI-XII),189,68,41,161,-20
XIV. Lợi ích của cổ đông thiểu số,0,0,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),189,68,41,161,-20
Lãi cơ bản trên cổ phiếu (BCTC),0,0,,,
