MBB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",819,841,917,830,"1,014"
II. Tiền gửi tại NHNN,"1,066","3,063","6,034","2,559","7,457"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","33,633","27,553","41,146","42,793","36,990"
"1. Tiền, vàng gửi tại các TCTD khác","33,633","27,553","40,535","42,793","36,990"
2. Cho vay các TCTD khác,0,610,0,0,
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,0,
IV. Chứng khoán kinh doanh,"1,628","1,060",416,820,305
1. Chứng khoán kinh doanh,"1,923","1,300",780,"1,064",514
2. Dự phòng giảm giá chứng khoán kinh doanh,-296,-240,-363,-244,-209
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,0,0,
VI. Cho vay khách hàng,"52,618","54,711","57,929","59,949","64,322"
1. Cho vay và cho thuê tài chính khách hàng,"53,723","55,966","59,045","61,319","65,500"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,105","-1,255","-1,116","-1,370","-1,178"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"16,143","16,828","18,097","25,162","26,717"
1. Chứng khoán đầu tư sẵn sàng để bán,"7,792","8,583","14,400","20,944","23,168"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"8,788","8,774","4,404","4,804","4,161"
3. Dự phòng giảm giá chứng khoán đầu tư,-436,-529,-707,-586,-611
"VIII. Góp vốn, đầu tư dài hạn","2,749","2,421","1,752","1,689","1,789"
1. Đầu tư vào công ty con,0,0,0,0,
"2. Đầu tư vào công ty liên doanh, liên kết",85,91,49,155,286
3. Đầu tư dài hạn khác,"2,778","2,440","1,821","1,645","1,636"
4. Dự phòng giảm giá đầu tư dài hạn,-114,-111,-119,-111,-133
IX. Tài sản cố định,"1,463","1,564","1,552","1,558","1,538"
1. Tài sản cố định hữu hình,358,471,471,478,468
a. Nguyên giá TSCĐ,710,859,887,933,963
b. Hao mòn TSCĐ,-352,-387,-416,-455,-495
2. Tài sản cố định thuê tài chính,0,0,0,0,
a. Nguyên giá TSCĐ,0,0,0,0,
b. Hao mòn TSCĐ,0,0,0,0,
3. Tài sản cố định vô hình,"1,105","1,093","1,081","1,079","1,069"
a. Nguyên giá TSCĐ,"1,200","1,206","1,204","1,219","1,220"
b. Hao mòn TSCĐ,-95,-113,-123,-140,-151
X. Bất động sản đầu tư,490,499,147,147,147
a. Nguyên giá BĐSĐT,490,499,147,147,147
b. Hao mòn BĐSĐT,0,0,0,0,
"XI. Tài sản ""Có"" khác","8,549","6,476","10,492","9,124","11,048"
1. Các khoản phải thu,"5,779","3,483","6,989","6,307","6,298"
"2. Các khoản lãi, phí phải thu","1,179","1,527","2,050","2,192","1,972"
3. Tài sản thuế TNDN hoãn lại,0,180,8,237,
4. Tài sản Có khác,"1,649","1,524","1,337",988,"2,914"
- Trong đó: Lợi thế thương mại,0,0,0,0,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-58,-58,-64,-371,-372
TỔNG CỘNG TÀI SẢN,"119,158","115,014","138,482","144,629","151,328"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
