MBB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,189","3,130","3,474","3,188","3,356"
2. Chi phí lãi và các chi phí tương tự,"1,573","1,696","1,574","1,632","1,706"
I. Thu nhập lãi thuần,"1,616","1,434","1,899","1,556","1,650"
3. Thu nhập từ hoạt động dịch vụ,136,258,310,407,433
4. Chi phí hoạt động dịch vụ,43,53,63,132,210
II. Lãi/lỗ thuần từ hoạt động dịch vụ,94,205,247,275,222
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-18,20,43,22,5
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-183,105,-104,147,157
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,,,
5. Thu nhập từ hoạt động khác,43,65,140,52,84
6. Chi phí hoạt động khác,,,,,
VI. Lãi/lỗ thuần từ hoạt động khác,43,65,140,52,84
"VII. Thu nhập từ góp vốn, mua cổ phần",3,2,42,3,31
VIII. Chi phí hoạt động,682,656,802,786,869
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),873,"1,176","1,466","1,271","1,280"
X. Chi phí dự phòng rủi ro tín dụng,318,366,574,548,531
XI. Tổng lợi nhuận trước thuế (IX-X),555,810,893,722,749
7. Chi phí thuế TNDN hiện hành,80,174,191,144,161
8. Chi phí thuế TNDN hoãn lại,,,,,3
XII. Chi phí thuế TNDN,80,174,191,144,163
XIII. Lợi nhuận sau thuế (XI-XII),475,636,702,579,586
XIV. Lợi ích của cổ đông thiểu số,80,8,8,-41,53
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),394,628,694,620,533
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
