MSN,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"11,199","10,121","9,012","9,320","16,428"
I. Tiền và các khoản tương đương tiền,"5,699","4,608","5,161","2,897","5,166"
1. Tiền,204,316,282,302,303
2. Các khoản tương đương tiền,"5,495","4,292","4,878","2,596","4,863"
II.  Đầu tư tài chính ngắn hạn,"3,287","2,634",283,"2,763","4,042"
1. Chứng khoán kinh doanh,"3,287","2,634",283,"2,763","4,042"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,975,"1,343","1,523","1,517","5,177"
1. Phải thu ngắn hạn của khách hàng,352,502,721,850,"4,347"
2. Trả trước cho người bán ngắn hạn,360,429,344,397,341
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,265,413,460,273,491
7. Dự phòng phải thu ngắn hạn khó đòi (*),-2,-2,-2,-2,-2
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,071","1,294","1,632","1,779","1,605"
1. Hàng tồn kho,"1,092","1,314","1,646","1,790","1,627"
2. Dự phòng giảm giá hàng tồn kho (*),-21,-20,-14,-10,-22
V. Tài sản ngắn hạn khác,168,241,413,363,438
1. Chi phí trả trước ngắn hạn,29,42,56,56,70
2. Thuế GTGT được khấu trừ,101,138,204,234,296
3. Thuế và các khoản khác phải thu của nhà nước,72,30,21,,
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,38,62,81,44,51
B. TÀI SẢN DÀI HẠN,"35,290","36,134","36,459","37,342","36,537"
I. Các khoản phải thu dài hạn,450,525,712,2,"1,388"
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
