MSN,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"18,004","18,150","20,614","22,100","20,321"
2. Các khoản giảm trừ doanh thu,366,384,400,501,344
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"17,638","17,766","20,214","21,600","19,977"
4. Giá vốn hàng bán,"13,676","13,872","15,396","16,385","15,663"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,962","3,895","4,818","5,215","4,314"
6.Doanh thu hoạt động tài chính,117,978,159,177,216
7. Chi phí tài chính,783,"1,076","1,277","1,420","1,383"
Trong đó :Chi phí lãi vay,678,863,"1,091","1,138","1,194"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",528,604,677,831,947
9. Chi phí bán hàng,"3,107","3,207","3,315","3,537","2,728"
10. Chi phí quản lý doanh nghiệp,802,869,850,520,903
11. Lợi nhuận thuần từ hoạt động kinh doanh,-85,325,210,746,463
12. Thu nhập khác,43,44,978,549,52
13. Chi phí khác,19,57,87,321,28
14. Lợi nhuận khác,25,-13,890,227,24
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,-60,311,"1,100",973,487
16. Chi phí thuế TNDN hiện hành,168,303,238,377,187
17. Chi phí thuế TNDN hoãn lại,-11,-46,-111,12,-42
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,-216,54,973,584,343
Lợi ích của cổ đông thiểu số,-138,-141,121,319,155
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,-78,195,852,265,187
19. Lãi cơ bản trên cổ phiếu (*),-67,167,728,226,160
20. Lãi suy giảm trên cổ phiếu (*),,,,,
