MSN,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"10,808","11,443","13,628","8,837","9,913"
2. Các khoản giảm trừ doanh thu,435,437,480,297,435
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"10,373","11,007","13,149","8,540","9,479"
4. Giá vốn hàng bán,"7,210","7,725","9,075","6,070","6,616"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,162","3,282","4,074","2,470","2,863"
6.Doanh thu hoạt động tài chính,164,169,219,134,136
7. Chi phí tài chính,729,860,969,923,926
Trong đó :Chi phí lãi vay,709,842,872,892,895
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",247,315,275,325,353
9. Chi phí bán hàng,"1,174","1,195","1,605","1,214","1,602"
10. Chi phí quản lý doanh nghiệp,377,477,563,437,463
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,293","1,234","1,431",355,362
12. Thu nhập khác,6,0,7,3,4
13. Chi phí khác,22,7,11,7,13
14. Lợi nhuận khác,-16,-6,-4,-3,-9
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,277","1,227","1,427",351,353
16. Chi phí thuế TNDN hiện hành,211,198,311,124,118
17. Chi phí thuế TNDN hoãn lại,-21,-25,-122,-35,-19
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,087","1,054","1,239",263,255
Lợi ích của cổ đông thiểu số,306,240,295,26,37
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,781,813,944,237,218
19. Lãi cơ bản trên cổ phiếu (*),"1,032","1,065",835,206,189
20. Lãi suy giảm trên cổ phiếu (*),,,,,
