MWG,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,EY,EY,EY,,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"3,031","3,259","3,931","6,176","6,779"
I. Tiền và các khoản tương đương tiền,235,395,469,344,428
1. Tiền,232,394,467,341,426
2. Các khoản tương đương tiền,3,2,2,3,3
II.  Đầu tư tài chính ngắn hạn,0,,,,
1. Chứng khoán kinh doanh,0,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,0,,,,
III. Các khoản phải thu ngắn hạn,339,329,427,636,545
1. Phải thu ngắn hạn của khách hàng,41,53,60,77,75
2. Trả trước cho người bán ngắn hạn,103,45,62,218,134
3. Phải thu nội bộ ngắn hạn,0,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,,,,
5. Phải thu về cho vay ngắn hạn,0,,,,
6. Phải thu ngắn hạn khác,196,230,305,341,336
7. Dự phòng phải thu ngắn hạn khó đòi (*),0,,,,
8. Tài sản thiếu chờ xử lý,0,,,,
IV. Hàng tồn kho,"2,352","2,430","2,911","4,933","5,578"
1. Hàng tồn kho,"2,402","2,478","2,986","5,010","5,667"
2. Dự phòng giảm giá hàng tồn kho (*),-50,-48,-75,-77,-89
V. Tài sản ngắn hạn khác,105,105,124,264,227
1. Chi phí trả trước ngắn hạn,81,80,97,110,121
2. Thuế GTGT được khấu trừ,24,25,27,154,107
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,
4. Giao dịch mua bán lại trái phiếu chính phủ,0,,,,
5. Tài sản ngắn hạn khác,0,,,,
B. TÀI SẢN DÀI HẠN,634,764,883,"1,089","1,186"
I. Các khoản phải thu dài hạn,84,95,105,112,120
