MWG,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"10,088","11,486","14,352","15,920","16,012"
2. Các khoản giảm trừ doanh thu,66,359,515,334,358
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"10,023","11,126","13,837","15,586","15,654"
4. Giá vốn hàng bán,"8,428","9,292","11,641","12,934","13,032"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,595","1,834","2,196","2,652","2,622"
6.Doanh thu hoạt động tài chính,19,24,64,47,53
7. Chi phí tài chính,26,25,39,65,56
Trong đó :Chi phí lãi vay,26,25,39,65,56
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,906,"1,094","1,381","1,586","1,671"
10. Chi phí quản lý doanh nghiệp,164,221,388,345,300
11. Lợi nhuận thuần từ hoạt động kinh doanh,517,518,452,704,648
12. Thu nhập khác,10,9,6,3,3
13. Chi phí khác,2,28,1,1,0
14. Lợi nhuận khác,8,-19,5,2,3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,525,499,457,706,650
16. Chi phí thuế TNDN hiện hành,110,114,115,151,145
17. Chi phí thuế TNDN hoãn lại,-2,-3,-14,-4,-6
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,417,388,356,558,511
Lợi ích của cổ đông thiểu số,0,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,417,387,356,558,511
19. Lãi cơ bản trên cổ phiếu (*),"2,841","2,642",,"3,624","1,661"
20. Lãi suy giảm trên cổ phiếu (*),,"2,516",,"1,759","1,661"
