PLX,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"31,940","36,495","34,540","37,816","41,150"
I. Tiền và các khoản tương đương tiền,"10,666","12,215","9,388","10,624","9,637"
1. Tiền,"4,394","6,334","6,666","6,509","5,444"
2. Các khoản tương đương tiền,"6,272","5,880","2,722","4,115","4,193"
II.  Đầu tư tài chính ngắn hạn,"4,387","4,936","8,593","8,554","9,228"
1. Chứng khoán kinh doanh,9,9,9,9,9
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-3,-3,-3,-3,-3
3. Đầu tư nắm giữ đến ngày đáo hạn,"4,380","4,929","8,586","8,547","9,221"
III. Các khoản phải thu ngắn hạn,"8,379","8,442","6,436","7,206","9,821"
1. Phải thu ngắn hạn của khách hàng,"7,842","7,916","6,056","7,038","9,454"
2. Trả trước cho người bán ngắn hạn,324,351,355,286,344
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,672,654,533,392,535
7. Dự phòng phải thu ngắn hạn khó đòi (*),-460,-482,-509,-512,-512
8. Tài sản thiếu chờ xử lý,1,3,0,1,0
IV. Hàng tồn kho,"6,759","8,911","8,331","9,421","10,412"
1. Hàng tồn kho,"8,418","9,058","8,423","9,443","10,557"
2. Dự phòng giảm giá hàng tồn kho (*),"-1,659",-148,-92,-22,-145
V. Tài sản ngắn hạn khác,"1,748","1,992","1,792","2,012","2,051"
1. Chi phí trả trước ngắn hạn,204,211,193,203,148
2. Thuế GTGT được khấu trừ,264,387,462,441,568
3. Thuế và các khoản khác phải thu của nhà nước,"1,257","1,371","1,115","1,347","1,313"
