PLX,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"68,682","75,132","73,862","64,352","71,066"
2. Các khoản giảm trừ doanh thu,26,26,25,28,28
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"68,656","75,106","73,837","64,324","71,038"
4. Giá vốn hàng bán,"64,674","70,437","69,216","60,888","66,434"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,982","4,669","4,621","3,436","4,604"
6.Doanh thu hoạt động tài chính,606,450,430,496,295
7. Chi phí tài chính,357,375,373,232,251
Trong đó :Chi phí lãi vay,215,194,177,175,61
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",119,111,166,109,125
9. Chi phí bán hàng,"3,252","3,198","3,209","3,318","3,894"
10. Chi phí quản lý doanh nghiệp,299,238,253,268,282
11. Lợi nhuận thuần từ hoạt động kinh doanh,799,"1,419","1,382",223,597
12. Thu nhập khác,84,28,134,34,211
13. Chi phí khác,33,6,13,16,48
14. Lợi nhuận khác,51,22,121,19,163
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,850,"1,441","1,503",241,760
16. Chi phí thuế TNDN hiện hành,76,311,239,86,157
17. Chi phí thuế TNDN hoãn lại,10,-3,-11,25,-9
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,764,"1,133","1,275",130,612
Lợi ích của cổ đông thiểu số,123,60,75,65,67
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,641,"1,073","1,199",66,545
19. Lãi cơ bản trên cổ phiếu (*),480,815,859,51,317
20. Lãi suy giảm trên cổ phiếu (*),,,,,
