SAB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"26,420","26,860","24,036","26,099","25,949"
I. Tiền và các khoản tương đương tiền,"2,843","4,069","2,995","3,742","2,392"
1. Tiền,"1,563",985,"1,022",968,"1,652"
2. Các khoản tương đương tiền,"1,281","3,084","1,973","2,774",740
II.  Đầu tư tài chính ngắn hạn,"20,620","19,411","17,367","18,639","19,998"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"20,620","19,411","17,367","18,639","19,998"
III. Các khoản phải thu ngắn hạn,760,898,895,984,"1,159"
1. Phải thu ngắn hạn của khách hàng,217,338,235,295,281
2. Trả trước cho người bán ngắn hạn,44,68,24,38,40
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,841,787,932,947,"1,133"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-342,-296,-296,-296,-296
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,981","2,194","2,497","2,430","2,151"
1. Hàng tồn kho,"2,057","2,272","2,573","2,507","2,225"
2. Dự phòng giảm giá hàng tồn kho (*),-76,-79,-77,-76,-74
V. Tài sản ngắn hạn khác,216,288,282,304,250
1. Chi phí trả trước ngắn hạn,159,182,206,255,204
2. Thuế GTGT được khấu trừ,34,83,54,33,29
3. Thuế và các khoản khác phải thu của nhà nước,23,23,21,16,17
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"7,529","7,605","7,444","7,548","7,478"
I. Các khoản phải thu dài hạn,16,38,40,38,37
1. Phải thu dài hạn của khách hàng,6,6,6,6,6
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,4,,,,
6. Phải thu dài hạn khác,45,46,48,46,37
7. Dự phòng phải thu dài hạn khó đòi (*),-39,-14,-14,-14,-6
II. Tài sản cố định,"4,578","4,455","4,332","4,227","4,098"
1. Tài sản cố định hữu hình,"3,488","3,369","3,248","3,145","3,018"
- Nguyên giá,"11,429","11,440","11,450","11,481","11,485"
- Giá trị hao mòn lũy kế (*),"-7,941","-8,071","-8,202","-8,336","-8,467"
2. Tài sản cố định thuê tài chính,164,162,161,160,158
