SAB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"7,612","7,077","8,844","7,480","8,307"
2. Các khoản giảm trừ doanh thu,7,4,11,1,6
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"7,605","7,073","8,834","7,478","8,301"
4. Giá vốn hàng bán,"5,451","5,119","6,575","4,972","6,413"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,154","1,954","2,258","2,506","1,887"
6.Doanh thu hoạt động tài chính,178,382,172,145,78
7. Chi phí tài chính,17,16,31,12,5
Trong đó :Chi phí lãi vay,23,62,19,11,11
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",127,2,119,29,157
9. Chi phí bán hàng,487,664,"1,122","1,071",432
10. Chi phí quản lý doanh nghiệp,168,171,290,163,185
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,786","1,487","1,106","1,435","1,500"
12. Thu nhập khác,3,79,131,18,69
13. Chi phí khác,31,40,40,5,34
14. Lợi nhuận khác,-28,39,91,13,35
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,759","1,526","1,196","1,448","1,535"
16. Chi phí thuế TNDN hiện hành,339,259,-578,232,296
17. Chi phí thuế TNDN hoãn lại,18,-6,778,28,2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,402","1,273",997,"1,188","1,237"
Lợi ích của cổ đông thiểu số,32,45,70,61,69
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,370","1,228",927,"1,127","1,168"
19. Lãi cơ bản trên cổ phiếu (*),"2,137","1,916","1,446","1,758","1,821"
20. Lãi suy giảm trên cổ phiếu (*),"2,137",,,,
