SHB,Q1/2009,Q2/2009,Q3/2009,Q4/2009,Q1/2010
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",103,117,169,139,199
II. Tiền gửi tại NHNN,90,985,590,920,122
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","2,426","6,168","6,081","6,324","3,017"
"1. Tiền, vàng gửi tại các TCTD khác","2,426","6,168","6,081","6,324","3,017"
2. Cho vay các TCTD khác,0,0,,,
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,481,17,,,
1. Chứng khoán kinh doanh,495,17,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,-14,0,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,485,800,800,1
VI. Cho vay khách hàng,"5,859","7,053","8,512","12,702","13,335"
1. Cho vay và cho thuê tài chính khách hàng,"5,885","7,104","8,576","12,829","13,462"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-26,-51,-65,-127,-127
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"1,856","1,703","1,589","4,545","4,568"
1. Chứng khoán đầu tư sẵn sàng để bán,955,"1,703","1,589","4,545","3,038"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,901,"1,541",,,
3. Dự phòng giảm giá chứng khoán đầu tư,0,-11,,,
"VIII. Góp vốn, đầu tư dài hạn",748,498,524,270,270
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,498,524,270,0
3. Đầu tư dài hạn khác,748,270,,,
4. Dự phòng giảm giá đầu tư dài hạn,0,0,,,
IX. Tài sản cố định,826,836,841,854,851
1. Tài sản cố định hữu hình,100,836,841,854,123
a. Nguyên giá TSCĐ,118,861,871,889,161
b. Hao mòn TSCĐ,-19,-25,-30,-35,-38
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,727,728,,,
a. Nguyên giá TSCĐ,729,731,,,
b. Hao mòn TSCĐ,-2,-3,,,
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","1,262","1,377","2,051",886,"2,592"
1. Các khoản phải thu,177,98,292,405,492
"2. Các khoản lãi, phí phải thu",183,263,303,267,516
3. Tài sản thuế TNDN hoãn lại,0,0,,,
4. Tài sản Có khác,901,"1,016","1,456",213,"1,584"
- Trong đó: Lợi thế thương mại,0,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,,,
TỔNG CỘNG TÀI SẢN,"13,651","19,223","21,156","27,439","24,971"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,209,,,
II. Tiền gửi và vay các TCTD khác,776,"5,248","5,931","10,128","5,273"
1. Tiền gửi của các TCTD khác,776,"5,248","5,931","10,128","5,273"
2. Vay các TCTD khác,0,0,,,
III. Tiền gửi của khách hàng,"10,208","11,352","12,429","14,487","15,478"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",25,13,12,32,45
VI. Phát hành giấy tờ có giá,0,239,,,
VII. Các khoản nợ khác,287,260,354,376,"1,190"
"1. Các khoản lãi, phí phải trả",184,171,175,171,171
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,103,89,178,205,"1,015"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,4,,,
TỔNG NỢ PHẢI TRẢ,"11,296","16,873","18,726","25,022","22,433"
VIII. Vốn và các quỹ,"2,356","2,349","2,430","2,417","2,538"
1. Vốn của TCTD,"2,046","2,043","2,063","2,043","2,043"
a. Vốn điều lệ,"2,000","2,000","2,000","2,000","2,000"
b. Vốn đầu tư XDCB,0,0,,,
c. Thặng dư vốn cổ phần,48,48,,,
d. Cổ phiếu quỹ,-2,-5,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,43,63,43,0
2. Quỹ của TCTD,52,57,43,53,96
3. Chênh lệch tỷ giá hối đoái,0,-28,,,
4. Chênh lệch đánh giá lại tài sản,8,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,250,249,324,321,426
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"13,651","19,223","21,156","27,439","24,971"
