SHB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,450","2,255","2,479","2,675","2,990"
2. Chi phí lãi và các chi phí tương tự,"1,779","1,905","1,719","1,940","2,017"
I. Thu nhập lãi thuần,671,350,760,735,973
3. Thu nhập từ hoạt động dịch vụ,53,65,124,49,120
4. Chi phí hoạt động dịch vụ,41,38,13,20,23
II. Lãi/lỗ thuần từ hoạt động dịch vụ,12,27,111,29,97
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-67,5,28,14,19
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,1,2,1,4,-3
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-4,51,-90,-24,-1
5. Thu nhập từ hoạt động khác,22,10,60,41,6
6. Chi phí hoạt động khác,11,1,1,7,5
VI. Lãi/lỗ thuần từ hoạt động khác,11,8,59,34,1
"VII. Thu nhập từ góp vốn, mua cổ phần",3,0,3,5,0
VIII. Chi phí hoạt động,407,382,285,431,522
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),219,61,587,366,563
X. Chi phí dự phòng rủi ro tín dụng,-69,-216,359,131,282
XI. Tổng lợi nhuận trước thuế (IX-X),287,277,229,236,282
7. Chi phí thuế TNDN hiện hành,70,60,43,45,56
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,70,60,43,45,56
XIII. Lợi nhuận sau thuế (XI-XII),217,217,185,190,226
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),217,217,185,190,226
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
