SSB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,095",926,"1,076","1,034","1,033"
II. Tiền gửi tại NHNN,"2,845","2,068","4,799",621,"3,833"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","33,098","31,941","42,590","49,720","52,344"
"1. Tiền, vàng gửi tại các TCTD khác","32,244","30,100","35,233","45,515","47,905"
2. Cho vay các TCTD khác,854,"1,841","7,357","4,205","4,438"
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,"9,149","13,884","13,083","18,552","13,408"
1. Chứng khoán kinh doanh,"9,204","13,933","13,094","18,554","13,408"
2. Dự phòng giảm giá chứng khoán kinh doanh,-55,-49,-11,-3,0
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,272,0,177,
VI. Cho vay khách hàng,"110,167","111,191","125,807","143,777","144,535"
1. Cho vay và cho thuê tài chính khách hàng,"111,578","112,581","127,588","145,837","146,784"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,411","-1,389","-1,782","-2,059","-2,249"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"22,243","27,335","16,820","9,151","5,844"
1. Chứng khoán đầu tư sẵn sàng để bán,"21,937","26,701","16,200","8,472","5,153"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,369,677,663,686,705
3. Dự phòng giảm giá chứng khoán đầu tư,-64,-43,-43,-8,-14
"VIII. Góp vốn, đầu tư dài hạn",97,86,85,85,85
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,,,
3. Đầu tư dài hạn khác,127,117,87,87,87
4. Dự phòng giảm giá đầu tư dài hạn,-30,-30,-1,-1,-1
IX. Tài sản cố định,867,858,883,898,935
1. Tài sản cố định hữu hình,276,268,286,302,309
a. Nguyên giá TSCĐ,756,759,679,707,726
b. Hao mòn TSCĐ,-479,-491,-393,-405,-418
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,591,590,596,596,626
a. Nguyên giá TSCĐ,767,773,761,767,805
b. Hao mòn TSCĐ,-176,-183,-164,-171,-179
X. Bất động sản đầu tư,66,66,66,65,59
a. Nguyên giá BĐSĐT,70,71,71,71,64
b. Hao mòn BĐSĐT,-5,-5,-5,-6,-6
"XI. Tài sản ""Có"" khác","7,308","9,003","6,456","7,318","7,471"
1. Các khoản phải thu,"1,751","2,531","1,992","1,762","2,202"
"2. Các khoản lãi, phí phải thu","2,680","3,668","1,680","2,791","2,656"
3. Tài sản thuế TNDN hoãn lại,0,0,,,
4. Tài sản Có khác,"2,919","2,845","2,825","2,805","2,654"
- Trong đó: Lợi thế thương mại,516,498,481,463,445
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-41,-41,-41,-41,-40
TỔNG CỘNG TÀI SẢN,"186,934","197,629","211,664","231,222","229,723"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,190,"1,278","2,173","2,193","2,156"
