SSB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,591","2,682","2,634","2,789","2,812"
2. Chi phí lãi và các chi phí tương tự,"1,951","1,983","1,887","1,812","1,707"
I. Thu nhập lãi thuần,640,698,747,977,"1,105"
3. Thu nhập từ hoạt động dịch vụ,105,125,154,139,160
4. Chi phí hoạt động dịch vụ,47,32,16,72,37
II. Lãi/lỗ thuần từ hoạt động dịch vụ,58,93,138,67,123
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-20,32,37,26,78
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,35,-12,28,115,-7
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,102,39,15,16,90
5. Thu nhập từ hoạt động khác,323,230,277,323,105
6. Chi phí hoạt động khác,163,51,67,123,56
VI. Lãi/lỗ thuần từ hoạt động khác,159,179,211,200,49
"VII. Thu nhập từ góp vốn, mua cổ phần",0,1,4,0,0
VIII. Chi phí hoạt động,515,529,543,590,586
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),458,501,638,809,854
X. Chi phí dự phòng rủi ro tín dụng,150,141,175,212,156
XI. Tổng lợi nhuận trước thuế (IX-X),309,360,462,598,698
7. Chi phí thuế TNDN hiện hành,0,151,91,124,143
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,0,151,91,124,143
XIII. Lợi nhuận sau thuế (XI-XII),308,209,372,473,555
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),308,209,372,473,555
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
