SSI,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"37,678","41,317","46,540","45,511","38,842"
I. Tài sản tài chính ngắn hạn,"37,615","41,237","46,464","45,391","38,696"
1. Tiền và các khoản tương đương tiền,243,290,"1,114",805,238
1.1. Tiền,194,268,474,607,170
1.2. Các khoản tương đương tiền,49,22,640,198,68
Các khoản đầu tư tài chính ngắn hạn,,,,,
+Đầu tư ngắn hạn,,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,,,,,
Dự phòng giảm giá đầu tư ngắn hạn,,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),"12,725","13,688","12,023","17,206","17,488"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),"7,815","7,838","7,834","5,640","5,479"
4. Các khoản cho vay,"16,159","18,293","23,698","21,203","14,724"
5. Các tài sản tài chính sẵn sàn để bán (AFS),266,266,272,272,294
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-62,-62,-62,-62,-62
7. Các khoản phải thu ngắn hạn,369,297,528,359,298
7.1. Phải thu bán các tài sản tài chính,267,262,521,295,237
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",102,35,6,63,61
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",102,35,6,63,61
Trả trước cho người bán,346,859,"1,256",116,197
9. Phải thu các dịch vụ CTCK cung cấp,25,25,35,48,46
Phải thu hoạt động giao dịch chứng khoán,,,,,
10. Phải thu nội bộ ngắn hạn,,,,,
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,7,7,10,48,236
13. Dự phòng suy giảm giá trị các khoản phải thu,-278,-265,-243,-243,-241
Dự phòng các khoản phải thu ngắn hạn khó đòi,,,,,
Phải thu khách hàng,,,,,
Hàng tồn kho,,,,,
Hàng tồn kho (chi tiết),,,,,
Dự phòng giảm giá hàng tồn kho,,,,,
II. Tài sản ngắn hạn khác,63,80,75,120,146
1. Tạm ứng,17,11,12,19,24
"2. Vật tư văn phòng, công cụ, dụng cụ",1,1,3,3,5
3. Chi phí trả trước ngắn hạn,34,53,54,62,69
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",4,4,4,4,4
8. Thuế GTGT còn được khấu trừ,0,,,,
Thuế và các khoản khác phải thu của nhà nước,1,0,,,
Giao dịch mua bán lại trái phiếu Chính phủ (TS),,,,,
5. Tài sản ngắn hạn khác,6,9,2,31,44
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"4,232","6,287","4,253","4,570","4,430"
I. Tài sản tài chính dài hạn,"3,747","5,792","3,689","3,993","3,778"
1. Các khoản phải thu dài hạn,,,,,
1.1. Phải thu dài hạn của khách hàng,,,,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
1.3.  Phải thu dài hạn nội bộ,,,,,
1.4. Phải thu dài hạn khác,,,,,
1.5. Dự phòng phải thu dài hạn khó đòi,,,,,
2. Các khoản đầu tư,"3,747","5,792","3,689","3,993","3,778"
